place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChZDSUhNMG9nS0VJQ0FnSURZN2NfX1pBEAE,5,"Very historical, very great, has a very entaining osprey!",5 years ago,2019-05-18T18:57:44,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChdDSUhNMG9nS0VJQ0FnSUM4MWR5N3dBRRAB,5,Just check it out and enjoy nature's gifts!,4 years ago,2020-07-11T02:14:56,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChZDSUhNMG9nS0VJQ0FnSURweFlDT0R3EAE,5,,10 months ago,2023-08-25T13:55:54,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChdDSUhNMG9nS0VJQ0FnSUNwb0tYVG1RRRAB,4,,11 months ago,2023-07-26T15:38:01,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChdDSUhNMG9nS0VJQ0FnSUNPb3VPNnpnRRAB,4,,2 years ago,2022-06-05T14:15:20,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChZDSUhNMG9nS0VJQ0FnSUNFemN6WkNREAE,5,,5 years ago,2019-06-17T04:33:11,,,,0,,,False,,,[]
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,ChZDSUhNMG9nS0VJQ0FnSURBcjd2TEp3EAE,5,,5 years ago,2018-09-06T18:49:53,,,,0,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChdDSUhNMG9nS0VJQ0FnSUREdjltSWtRRRAB,5,"Loved it. Great shape, greens rolled smoothly , tee boxes were excellent. Not a terribly difficult course. Would definitely go back. Bar/snack stand at the turn was not opened yet, so hopefully next time that glizzy at the turn will make this course even better.",3 months ago,2024-04-16T09:11:13,,,,0,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChZDSUhNMG9nS0VJQ0FnSUNqN3NhV09BEAE,1,"Had a three Hour NINE holes today.  Finished nine holes and went into the ""pro shop"" and asked for a rain check because is was getting dark and it was just too busy.    Attendant so NO,  you booked. Twilight round, there are no rain checks.    Tee time booked was 2.12 pm on a Sunday, sunset is around 8 pm.   Teed off at 2.35pm and was on the first tee 30 minutes early.  IMO maybe not a good plan to retain local business.",3 months ago,2024-04-21T21:51:59,,,,1,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChdDSUhNMG9nS0VJQ0FnSUNyNDhfdGpBRRAB,4,"Great course, enjoyed the layout and the price point was the icing on the cake. The front and the back play like two different courses, which was fun.",2 weeks ago,2024-07-10T23:17:39,,,,0,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChdDSUhNMG9nS0VJQ0FnSUNHOHVhZzZRRRAB,5,"I've wanted to play Acushnet River Valley for many years and finally got a chance to play last week.  The wait was very well worth it.  Great layout, awesome design of the various holes but the course condition put it over the top for me.  Everything was in fantastic shape, but want I loved was the firm fairways, so easy to compress the ball off the turf.  They have a nice driving range and practice green as well.",2 years ago,2021-10-25T14:20:49,,,,1,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNGMRCIoIQ1qEgQitKPdhPc270JPlP8ycV0Ge-A=w150-h150-k-no-p""]"
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChdDSUhNMG9nS0VJQ0FnSUNncGUtWXJBRRAB,2,"Acushnet River Valley is one of the best values anywhere. $39 everyday after 1 p.m. for 18 holes and cart. That's almost unheard of. At that price point you wouldn't expect much, but the course is in really good shape. The greens are awesome and the layout makes it a fun round. Some real memorable holes and shots here. The only issue - after 1 p.m. it's a total free-for-all on the first tee. If you come at the wrong time, it could be a 5-6 hour round.

** I originally gave 4 stars but had to edit my review to 2 stars. We had a tee time for 3:50 pm, we get to the tee 10 minutes early and there are 5 groups waiting to go out (this happens frequently). We don't tee off until 4:30 pm. We play at a normal pace, keeping up with the group in front of us. We get to the 18th tee around 8:30 pm, it's getting dark. The ranger comes out to tell us that we need to pick up the pace because they closed at 8 pm and are waiting for us to finish. Well, we would have finished by 8 pm if we didn't waste 40 minutes sitting on the first tee.

Acushnet River needs to space out their tee times to have a reasonable pace of play. The course is nice and a great value, but the slow play leaves you frustrated.",6 years ago,2018-07-16T14:39:09,,,,12,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipO2tT_8fpHt7BErmQj_dZBo5TIp0phmXDFsRhWu=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOz1mwPrx-GDZTu2hgDgRsIU6FuIYHLtTk4VJ6j=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOdJfqK_54oZQk4U1hyvwQNCkDnpDWYcNB4DcaN=w150-h150-k-no-p""]"
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChZDSUhNMG9nS0VJQ0FnSUNGOVp5Y2VREAE,5,"Hello good morning golfed acushnet  Valley golf course yesterday  10-29 -23.The course itself is amazing, especially the back nine which is a link style. I will definitely be going back to this course more than once a year. The price, for the round was perfect for the condition of it the only thing about it that I thought they could improve on is  to have the potholes on the cart path filled in  in certain spots.  One  more little thing that I liked a lot when I was in the parking lot getting my stuff together a young gentleman came up to me and gave me an electric cart which I thought was pretty cool.  Again highly recommend this course .",8 months ago,2023-10-30T16:19:22,,,,1,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChdDSUhNMG9nS0VJQ0FnSUNKeTlxOXhnRRAB,4,"The course is in excellent condition throughout. The greens roll true and have good consistent speed. The layout and variety of holes keeps things interesting. The pace of play was on the slower side, even with limited play due to rainy conditions.

8/18/23 - played the course again as part of the scramble fundraiser.  The course is in amazing condition.  A downpour moved through, which suspended play for about an hour.  The course has great drainage, which made the course very playable for the final 10 holes.",11 months ago,2023-07-05T00:03:16,,,,0,,,False,,,[]
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,ChZDSUhNMG9nS0VJQ0FnSURaa0ltbU93EAE,3,"I love this course, the front/back play different, and the course is always in good shape. My only gripe is the poor customer service. Double booking, get ready to wait and tee off late. Between the old mustache starter man who is quick to yell at customers for no reason at all. The pro shop or director of golf don't return phone calls. Like I said, I love this place but when I recommend it to another person, I make sure to mention its downfalls.",10 months ago,2023-09-22T12:49:19,,,,3,,,False,,,[]
ChIJdxPOd9Dl5IkRybKCwvavL1s,The Sawmill,ChdDSUhNMG9nS0VJQ0FnSURlenRHMnBBRRAB,5,"Nice walking paths and rivers/streams. There are elevation changes and roots, rocks and sticks on the path so bring proper shoes, water and a camera for the nice scenery.

Beautiful views and wildlife is abundant. Very little trash and well maintained.",a year ago,2022-10-10T14:11:44,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipM6L9GmSqLjUvIkhNpKoidbKSCqcxH4qSj8rOMs=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNlfX2iKz7w88soGqwI9ranuGfEmD36OWuz7Ne3=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNTqMpjT3duUbTxYe_1VjLjGsUalI9lgg2C9nax=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM8MDkyGZCdigcrZ5dVJz_t1gn5uoYfgfwHvdV2=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMFxcN18eKOPKeUjPSO0LOeNPJsM-DpPS_diQnt=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOxMl8SVOeLf0obHcKKRpMkbwQ-dM9bu88sJ6mU=w150-h150-k-no-p""]"
ChIJdxPOd9Dl5IkRybKCwvavL1s,The Sawmill,ChdDSUhNMG9nS0VJQ0FnSURncXIzWnlRRRAB,5,Great place to take the whole family for a nice walk. I love to take my dog here. They have a large parking lot too.,10 months ago,2018-05-19T02:29:02,,,,1,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPk8ZkAkTlcHktioTDv02YIjFlG3nxSB49kTQxp=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPAtK7p6EKFnPl5yOzMw1l4jn-rH1GcMItE-BR1=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN3Wt5DVGudzfIDQzboO4jQeg0NYQ2FZFkwyJex=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOajluljxdOp4FKCxceKTtD_rFlU0h6FqYCkKLy=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMU1QURxw0Q84emyOWky8zGEuOioJ5EE7UZyqtt=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNC7cy1HltQu8nYNfmA8WA-y31LgSzaE0oIIIOa=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN8RMAtFVUBaUv0rcyJCPD9kC0yjSvjZUe9RbsM=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNLqVCsK084xufla1PquVAMKGD9Ecly4OFfc0kG=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN6qxU0psrRfTPa4FPkRZ61_vO0DaBKaXNLyc0u=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO-pjzU4y62VSRVjlTqNQs3SzfkLIqj_CLjDpJR=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOtkuz-TAw0jD6OMkAoDzQ8-LW6TQUdSdSEl8mD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN9Ov-gd9g53e6dHXjl-sMZB4DQGVOarWs8cGu1=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM2tu_J7n-qfamEoyQVqCimtodru2N7rJTI7o62=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOYD3swmrCFR40wRRo9Kg6TskjEsgOKmkuUdKs2=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOp_G3ukqjhMiKdpWhGanX0eC9IKQ_PKHnbHJUv=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO3WzJXr_tGj-UhSZ2MUKhwo5rYRs25WkGEnM0A=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOEJrw1cmFqeLNIlOXrlK1UYEQhlAQKOhrrPmuu=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNf_vXOHbjjo2mRS_AYcYwCwGFfvqIYbH-HhTDl=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOrkDXRWG2m0Lh9jvVwMljQt7xcA3VxnOZqA-GG=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPYgWn5_Yn5Mc4LVZ3aftNuyTL8rYVfmNkcE2L9=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMHTZRP5gVRkKckH-oVg8aWC-Cm0Ull8F4EMDbf=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMaH6i3VeliKiYvHInY-FHPyeWwc1PWLlf1gIf1=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMmgeHm0SVRIiS7f2wugH4IhpoAqwdeN5LyWSRq=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNEwUKvD5gaRmLb5m4Q2pBnzjhlSaI4NDTAqtV1=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMgGjd0aQCM8ltmem9o6tKbP7tapb5S2-QApE2e=w150-h150-k-no-p""]"
