place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJ11crYCPk5IkRgrl0r49cpn4,Acushnet River,7,River,River,4.7,"Massachusetts, USA",https://www.google.com/maps/place/Acushnet+River/data=!4m7!3m6!1s0x89e4e423602b57d7:0x7ea65c8faf74b982!8m2!3d41.6604329!4d-70.9166944!16zL20vMGR6ajEz!19sChIJ11crYCPk5IkRgrl0r49cpn4?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJdYg6SaDo5IkRImqItV7nhlw,Acushnet River Valley,126,Golf course,"Golf course, Golf instructor, Public golf course",4.1,"685 N Main St, Acushnet, MA 02743, United States",https://www.google.com/maps/place/Acushnet+River+Valley/data=!4m7!3m6!1s0x89e4e8a0493a8875:0x5c86e75eb5886a22!8m2!3d41.7137061!4d-70.8937474!16s%2Fg%2F1tgjm9j8!19sChIJdYg6SaDo5IkRImqItV7nhlw?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJdxPOd9Dl5IkRybKCwvavL1s,The Sawmill,220,Park,Park,4.7,"32 Mill Rd, Acushnet, MA 02743, United States",https://www.google.com/maps/place/The+Sawmill/data=!4m7!3m6!1s0x89e4e5d077ce1377:0x5b2faff6c282b2c9!8m2!3d41.6836882!4d-70.9196459!16s%2Fg%2F1ptyw3lrp!19sChIJdxPOd9Dl5IkRybKCwvavL1s?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJOwBzzhHl5IkRGryBfWyZk5Y,Acushnet Cedar Swamp State Reservation,58,Park,"Park, Tourist attraction",4.4,"New Bedford, MA 02745, United States",https://www.google.com/maps/place/Acushnet+Cedar+Swamp+State+Reservation/data=!4m7!3m6!1s0x89e4e511ce73003b:0x9693996c7d81bc1a!8m2!3d41.6980654!4d-70.9635962!16s%2Fm%2F063zh1f!19sChIJOwBzzhHl5IkRGryBfWyZk5Y?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJizwv3BDl5IkRCxL5lUrgwQU,Ricketson Nature Center,2,Park,"Park, Community center, Education center",5,"1911 Acushnet Ave, New Bedford, MA 02746, United States",https://www.google.com/maps/place/Ricketson+Nature+Center/data=!4m7!3m6!1s0x89e4e510dc2f3c8b:0x5c1e04a95f9120b!8m2!3d41.6738306!4d-70.9271945!16s%2Fg%2F11fprfddtm!19sChIJizwv3BDl5IkRCxL5lUrgwQU?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ0z3Vvd3l5IkR8v5wZzSQ_9s,White's Factory,80,Historical place,"Historical place, Tourist attraction",4.5,"Hamlin St, Acushnet, MA 02743, United States",https://www.google.com/maps/place/White%27s+Factory/data=!4m7!3m6!1s0x89e4e5ddbdd53dd3:0xdbff90346770fef2!8m2!3d41.6955772!4d-70.9149335!16s%2Fg%2F1q5bvrs1k!19sChIJ0z3Vvd3l5IkR8v5wZzSQ_9s?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJG5428Xfm5IkRo9G8gVYaVqY,Acushnet Center,0,,,0,"Acushnet, MA 02743, USA",https://www.google.com/maps/place/Acushnet+Center/data=!4m7!3m6!1s0x89e4e677f1369e1b:0xa6561a5681bcd1a3!8m2!3d41.6807662!4d-70.9066737!16zL20vMHR5bGM!19sChIJG5428Xfm5IkRo9G8gVYaVqY?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,1296,State park,"State park, Hiking area, Historical landmark, Hunting area, Park, Picnic ground, Scenic spot, Tourist attraction",4.5,"110 Slab Bridge Rd, Assonet, MA 02702, United States",https://www.google.com/maps/place/Freetown-Fall+River+State+Forest/data=!4m7!3m6!1s0x89e4f0f1401f03c1:0xf6f97d27dbf1611!8m2!3d41.7793564!4d-71.0422174!16zL20vMGI5MWZ2!19sChIJwQMfQPHw5IkRERa_fdKXbw8?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJcR_57qTn5IkR9s6otrOliu0,The Bogs,30,Park,Park,4.8,"138 Acushnet Rd, Mattapoisett, MA 02739, United States",https://www.google.com/maps/place/The+Bogs/data=!4m7!3m6!1s0x89e4e7a4eef91f71:0xed8aa5b3b6a8cef6!8m2!3d41.6734102!4d-70.8437396!16s%2Fg%2F11bc8_4t30!19sChIJcR_57qTn5IkR9s6otrOliu0?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJU-ctCc7l5IkRpl25CZmHnuQ,Acushnet Sawmill Parking,6,Historical landmark,Historical landmark,4.2,"Mill Rd, New Bedford, MA 02745, United States",https://www.google.com/maps/place/Acushnet+Sawmill+Parking/data=!4m7!3m6!1s0x89e4e5ce092de753:0xe49e879909b95da6!8m2!3d41.6836536!4d-70.9199828!16s%2Fg%2F11bx8sdbrg!19sChIJU-ctCc7l5IkRpl25CZmHnuQ?authuser=0&hl=en&rclk=1,acushnet river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
