place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJPwHzrxLx5IkRKbnyJpJRMAo,Assonet River,ChdDSUhNMG9nS0VJQ0FnSUQwcWZmT3l3RRAB,5,,4 years ago,2019-11-10T14:32:53,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPEU0hdvF1DxdzCEEYAj4Kq5HoHCGK7L4pI3nKH=w150-h150-k-no-p""]"
ChIJPwHzrxLx5IkRKbnyJpJRMAo,Assonet River,ChdDSUhNMG9nS0VJQ0FnSURPanJhUnNRRRAB,5,,2 years ago,2022-07-05T11:47:26,,,,0,,,False,,,[]
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChZDSUhNMG9nS0VJQ0FnSUNUNEludkxBEAE,4,"This place looks like the place to be come summer, with a generous splash pad, a dozen or so picnic tables and grills, a wide field, and tons of hiking trails.

I will say though...hunting?!?!  I am not anti-hunting, but it would be nice to know it wasn't a possibility year-round at a state park.  It literally says to wear bright colors so you don't get shot!

Other than THAT, which I have no insider knowledge of how prevalent it is or not, I really enjoyed my trip.

I especially liked that all dogs I saw were leashed, which is a rule at DCR parks, but not always enforced or followed.  Thank you!!!!

And there are bathrooms open, but they closed well before the park did.

Cool history and very accessible.  Even the trails aren't super bumpy.",2 months ago,2024-05-09T20:58:11,,,,1,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipMNO2EgrhZFAyDrjCrauzJu8x5DMAxx248MPHKh=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOQhZJOaKwLaHpoAeMQ5qOZMtJ6nPHvYRmjCoMZ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOAsbo8jS3DsneWFHmaVzR6XRBKA9JlHN12-_xI=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNOMW4mVrhoxIjhzzczm3OeIjUGP8SkBMFOAIki=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMcDxoTO70mfoPZaW-hWwqNa_AG4WxgYbWJ6t2h=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOEu5QWRH8yGak7QfMMAw94YXtvOlMxpvtuBdPC=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPlhAFe1Yg7ybylRKJ0cZDAguKAcPay0YUPJKmA=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN8pTIF7gKWvvXa9WtZ764HM9R3vANQXlpfZwEJ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNu52jsgzqSxfdcGujTDnHTbxyFQCU9GKzQYdZl=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMBUP2o-ojcclemBnXmK_zvgQQB9XuJfu6v8iWW=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPLi9gZ7FDHfH_sq-2shr3DE-4sfDC1iVXPSA71=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChdDSUhNMG9nS0VJQ0FnSUN4N2FXMV9BRRAB,5,"I came here looking for pukwudgie and any other Bridgewater Triangle spooks and goblins. I heard some strange noises, but did not see any tiny humanoids. Still a great walk through the forest though!",a year ago,2023-05-23T17:05:35,,,,6,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipOzv-w3UQaqfRo35smexsZtd3yxpNNX--slcE44=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOH5kGXGHJxY2Rrb4HR7LLSjhU1u7bEJyuFsR5m=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN0nCgLSQRLAJf_AOqXVSfzx6KJ__8Op2JnsWDq=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOOAzi1eFcy1ZQ7tRRfRDbjzpJ3tYCjBTNCbuDh=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPMXsHdZ0iv3g2fzrNP8hkDM7DpUUQfWKaHadoM=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNHfhDyBzvYbnLirOL0BNIj91rVoGu2dY-JSbud=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNTJWGGL2rBtzbpwUVWrllSoaPRympZcfON5o71=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOkZHW2Dewal92YFVHnbC7zNp38GA7JjG2eHm84=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNTCbB0LhXPk1_BLe_cb3bclGH3JiwxHR3ioBvG=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChZDSUhNMG9nS0VJQ0FnSURyMjhxQmJREAE,5,"I have been coming here since I was a kid, when you had the pool. I find it very peaceful and great for the kids and pets. ",4 days ago,2024-07-20T13:30:19,,,,0,,,False,,,[]
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChdDSUhNMG9nS0VJQ0FnSURBcWFlZXVRRRAB,5,Great place to take children of all ages! Amazing hiking/walking trails. If you like the nature and everything that comes with it you'll love the trails. Also has a wading pool for children and parents. They also have sites where you can set up for the day with charcoal grills. Bathrooms on site.,6 years ago,2017-09-10T23:28:46,,,,2,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipM2v3fo6m0KPVNISKaebpYQNHLsjjiFKjRfG7WY=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNge9V5gj6jiFjZOik-Ec-NNxKnAAdAmMnvgato=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPmkagOxcP5ZmlOMx_ScNfjDwyY-3khDwPZ2s5h=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOMVaf4TryYYqa33E4PXleXTPf8yyqlBBxTgZ9z=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChdDSUhNMG9nS0VJQ0FnSUQ1OXE3dzRRRRAB,5,They allow hunting here so just be careful.  Beautiful place for hiking.,9 months ago,2023-10-24T12:38:56,,,,1,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPrd7L0NTUUi2Q7KswK9iKi_ohgnn1Km-tsc35N=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOiWkHuSDXVyd-mQL9njRoFm0L1In0LeULPJTuN=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP2yPkcVgk9LaQcaCs289i8nDEuNo9IGh0dvBGf=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOq0My4cHCtqn-cZQb0P5CFLgMP6HTIY6RvRlsB=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNBK_sNyc0OsXac9FFgyuiWiBvmoetKTDdC2xke=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNRLkNRlNHIp3EN1Xtbf-CG3n_zYYWkYSiv5Z48=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMv2Gq7v6nLda4I4ZaR6uRdXY2i7_FFzyeNukh0=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNzvS2-CrLBHm0H2vNzJ0uBeV_MvtS0kSmBKhdJ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPA-yU_lUFgH9u9NyD4oChRk8aS3GdQzq-_1Ulv=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNxJGGMdqjQrhwle1OT0k-YXbdLu7nMvATRQvsV=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNLO7WxJhHoVB_gpQQyKTz7MwkPqr2gMRfXPK3W=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP1tvR8yuM-wmpkcB5Xe-r4cGBknIG8Xayp2Hts=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPzrROOlTur5Oi2JYBM6l-9zJqsmHAdApPhGf3_=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMWjJ5T08qqEIiEHc_AHr0rHUeM2eIy4rfxRZE8=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChdDSUhNMG9nS0VJQ0FnSUNRdTVUNjhBRRAB,4,"Pretty good hike! There's definite evidence of extracurricular activities in the forest, but don't let that stop you from climbing to the top of profile rock or exploring the trails. Tons of evergreen trees. Pictures are of the view from the top of the rock. Be careful as private property does border the forest in several locations",6 years ago,2018-05-29T16:21:30,,,,7,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNrxpN4wh7buvJ25jqo6lJWdwwHglSplIHVW6SN=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMxCS_9GzZKYHrPFV-3u0JlNjujOpfx1YfVp-YC=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNxn_PfypTkBItrmxTUNhsf88M_ysIJVN9gkKi4=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO7xkUr17oO7QT5U3Pq4dluLio9uiJ7KY5P8fyD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP0DOz8C9NLs-o27nBvM0HukfKd0in_h1YVOzft=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChZDSUhNMG9nS0VJQ0FnSURJN1lxWEZBEAE,5,"Nice place to hike in the summer, fall, winter, and spring dont get lost however use maps if needed, I was able to still get celluar service on cell phone throughout the trails. You would also see motorcross bike trails as well, and occasional wildlife. Great place to barbecue with picnic benches and if you have kids it have a nice waddling pool for small children.",3 years ago,2019-01-16T15:23:14,,,,3,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPOl_b6hOrG9ggX2IFgnzYIHRnASiv0PH9PhsKh=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMuRF6fClZrg3G33oPYqa5vYtMCyBCsHPCvXxz7=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPSinN4MNNRdv8elf9FSuEm70KG-QSyENEg2JMb=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMi9nHbUH-Xb_2nr0TByUMmo6LP8-i5gxjDL84v=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNNN1dtxtqOazM_63B2EKoU4Yu3nYNCrxX2M8ZL=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNCCMOfKDM2Rumk4fLDujVlUpdw5Io4kH0tSG6Y=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPIpcHnGvfJB-81SZRIs4HW8i99P7DPImQ84NTr=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMlRj7QHjghLC8eL-m6yX_zww2ipAqP-MAX-Mij=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNE9Cc7AdG8XSxezGTWurL8iDtLyVYhGTNPgeHX=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNJ3bKTMwrIgyv2kONyGsjRhcanUw-5wVaKQ4N7=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMmAbsUrzfjTUhRshFvt___gb3cT-yuQvLpKy0J=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMpbQxxOEIJJYKoyRqw-rNJXgvzK_RAY3uKj97c=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNJDXFLrHlkadFLTO9idsO20ZkuwYFfOi9RsXwx=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPl0XdrMEB-CZoI5irmATt2Wi-xDIjJUsNtEojR=w150-h150-k-no-p""]"
ChIJwQMfQPHw5IkRERa_fdKXbw8,Freetown-Fall River State Forest,ChdDSUhNMG9nS0VJQ0FnSURnM2IyY29RRRAB,5,"Update,
Folks I drive a Acura rsx. A little sports coupe. I drove through every single trail this park had to offer. It's all totally accessible, and the pot holes are a test of your skills and mettle as a driver. the peace of mind is unreal and you see absolutely no one. Let alone its a major part of the ""bridge water triangle"" get in here folks and live !",6 years ago,2018-05-08T03:22:10,,,,7,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPBIA8cGwG9QjP5Rqkm25sD0Xe2KHKtm7RJGcMJ=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMr-VsS4PtnsuAhSKuZAWyWTkgMvJSRQv3WJgoe=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNSjWZS0d8BIDF79KWylynQIFNK5E4foQR3I7nq=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMYaVI4767Ep1SHUZYnC-FyAhuwJYJ7rqEOoZmo=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOUXph5W0r-MauOMIjdJdPxiBBxsa5SgcVpDhzx=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO5CdVypN6ZreAKOtA3icJ8E1L7ai4XkqDlfXDr=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP-f6LDOKOhgqc0r5KX1WiAHke976gBJcvEGIvl=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN9JULIylgKQVDlM9Pz85Ex5tC-rMH2vy9IIk8z=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPoiWOlY2ri1zHkP_LRQmbdPAKFOP0oBtzdexlu=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN8Pg03ZgoUo7C39GFTJZr2pd90xkRZns9ZsT8l=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNigcLxG51gzPNd6o14B8xXLnELUNevfakVnLQD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPhXS0twKu9Wy7s6c1KjEdIzXnEIJrnk-qZYZp4=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPHlNPDYBKXaHJoELj8Aod5hcuph4B3QsqraRhB=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNKSzdHx0rFVDQvCjoJPBXNGj5UIzjVoCrCyE4F=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP7NRwW3cKQ-YDvhs21tUuWD0AKDJxdXauxo1PV=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPuXXbmqgKOO0SoMAm3YUe4HcBO2H0-hM6tKqau=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPWj_1qT9Wj0gFyV7DlZUZN8VpHuWgN8L8PcIyK=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOw8etUCeW0UrLjvlNqw66CD-fcjFkP1tgfsO1k=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM_Px95shBQeoXyMJ2qJnnagUQ18rDBnd9F52Fv=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOoWqmcacG1Z5U4vXHSdaDkSV91BlgpDiWOT6Sd=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN2OHFWaw_nwdvLR-jq9fs5Jq7zBMXtXpnChZig=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMiTf-nDNmU2_Liwa6USGTWi1SMaWbkoHYaLrmL=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN0w7bSMR3ARQ2XUtjPalRayhx1N1LY5iBv9XY_=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMp7-yh4GeVSIS3n--862ALXDIfRD1Q1lF0LCyo=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOXa69kPV7z1WKz0bn9LOYAwQC2flbJvuELLeB_=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPbKOx1d3AwQHQlKy9ZCHdjYlb6hdBtIfrwKfBD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMfcXR8L-TFNmIy0EYGWhkrPZA4PuIgV5ouLmXk=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPjz1zaKFjF3lhSBLsWwmzA89u03proLgUY0Byz=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOcgn-_RZXpJpAPmSbASnRZU85dhOYl69mGfC5q=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOZ7flimBwQVbHgz7VNUSCJMntPUgji-cCr5xNe=w150-h150-k-no-p""]"
