place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJv9lnBgp644kRes_e1eIVHvA,Charles River Esplanade,4197,Park,"Park, Tourist attraction",4.8,"Storrow Dr, Boston, MA 02116, United States",https://www.google.com/maps/place/Charles+River+Esplanade/data=!4m7!3m6!1s0x89e37a0a0667d9bf:0xf01e15e2d5decf7a!8m2!3d42.3555785!4d-71.0788785!16s%2Fm%2F0j441wr!19sChIJv9lnBgp644kRes_e1eIVHvA?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJTwyILAh644kR8xD41jV-yBk,Charles River Reservation,569,Nature preserve,"Nature preserve, State park, Tourist attraction",4.7,"1175A Soldiers Field Rd, Boston, MA 02135, United States",https://www.google.com/maps/place/Charles+River+Reservation/data=!4m7!3m6!1s0x89e37a082c880c4f:0x19c87e35d6f810f3!8m2!3d42.3649837!4d-71.1354514!16zL20vMGYzeHhf!19sChIJTwyILAh644kR8xD41jV-yBk?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ63meK7F45IkRRZjNjplVYlo,Charles River,149,River,River,4.6,"Massachusetts, USA",https://www.google.com/maps/place/Charles+River/data=!4m7!3m6!1s0x89e478b12b9e79eb:0x5a6255998ecd9845!8m2!3d42.2540732!4d-71.2660843!16zL20vMDEybjF0!19sChIJ63meK7F45IkRRZjNjplVYlo?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJQbq0c1py5IkRYqaeqSASAX4,Charles River Bike Trails,229,Hiking area,Hiking area,4.7,"Milford, MA 01757, United States",https://www.google.com/maps/place/Charles+River+Bike+Trails/data=!4m7!3m6!1s0x89e4725a73b4ba41:0x7e011220a99ea662!8m2!3d42.1562256!4d-71.5200718!16s%2Fm%2F0464mx9!19sChIJQbq0c1py5IkRYqaeqSASAX4?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJr9c2DsGA44kRgfuGC0X9Jw8,Charles River Peninsula,60,Tourist attraction,"Tourist attraction, Park",4.8,"Fisher St, Needham, MA 02492, United States",https://www.google.com/maps/place/Charles+River+Peninsula/data=!4m7!3m6!1s0x89e380c10e36d7af:0xf27fd450b86fb81!8m2!3d42.2576016!4d-71.2673753!16s%2Fm%2F04n5pmq!19sChIJr9c2DsGA44kRgfuGC0X9Jw8?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJzQa4MoeI44kR3SRTMwgWeXA,Charles River Center,11,Social services organization,"Social services organization, Travel agency",4.1,"4 Strathmore Rd, Natick, MA 01760, United States",https://www.google.com/maps/place/Charles+River+Center/data=!4m7!3m6!1s0x89e3888732b806cd:0x70791608335324dd!8m2!3d42.2957244!4d-71.3888874!16s%2Fg%2F1tg_h1rm!19sChIJzQa4MoeI44kR3SRTMwgWeXA?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJTcvQzr1w44kRmlmg60HbX9w,Charles River Boat Company,466,Boat tour agency,"Boat tour agency, Tourist information center, Wedding venue",4.7,"100 Cambridgeside Pl # 320, Cambridge, MA 02141, United States",https://www.google.com/maps/place/Charles+River+Boat+Company/data=!4m7!3m6!1s0x89e370bdced0cb4d:0xdc5fdb41eba0599a!8m2!3d42.3685977!4d-71.0759648!16s%2Fg%2F1tc_xm7t!19sChIJTcvQzr1w44kRmlmg60HbX9w?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJUfqzdteC44kRtoSW61qCrYo,Charles River Museum of Industry & Innovation,283,Museum,"Museum, Heritage museum, Historical landmark, History museum, Tourist attraction, Wedding venue",4.5,"154 Moody St, Waltham, MA 02453, United States",https://www.google.com/maps/place/Charles+River+Museum+of+Industry+%26+Innovation/data=!4m7!3m6!1s0x89e382d776b3fa51:0x8aad825aeb9684b6!8m2!3d42.373122!4d-71.2335277!16s%2Fm%2F05b5gy3!19sChIJUfqzdteC44kRtoSW61qCrYo?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJWd-U671w44kRKq140ASd0Dk,Charles River Reservation,13,Park,Park,4.3,"Cambridge, MA 02141, United States",https://www.google.com/maps/place/Charles+River+Reservation/data=!4m7!3m6!1s0x89e370bdeb94df59:0x39d09d04d078ad2a!8m2!3d42.3682818!4d-71.0747546!16s%2Fg%2F1pxy98wnp!19sChIJWd-U671w44kRKq140ASd0Dk?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJp6z7H9WD44kRcLM5-DdJkdU,Upper Charles River Reservation,6,Nature preserve,Nature preserve,4.7,"96 Forest Grove Rd, Waltham, MA 02453, United States",https://www.google.com/maps/place/Upper+Charles+River+Reservation/data=!4m7!3m6!1s0x89e383d51ffbaca7:0xd5914937f839b370!8m2!3d42.357398!4d-71.2501628!16s%2Fm%2F0bx_p3m!19sChIJp6z7H9WD44kRcLM5-DdJkdU?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJJ2xgW6Bw44kRo2xHnTdkyro,Fiedler Dock,85,Park,Park,4.9,"Charles River, Boston, MA 02114, United States",https://www.google.com/maps/place/Fiedler+Dock/data=!4m7!3m6!1s0x89e370a05b606c27:0xbaca64379d476ca3!8m2!3d42.3568241!4d-71.0758727!16s%2Fg%2F11bvt53lm4!19sChIJJ2xgW6Bw44kRo2xHnTdkyro?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJpwfg4TaC44kRMgdsLEA3lO8,Charles River Wetlands Trail,20,Hiking area,Hiking area,4.6,"600 Quinobequin Rd, Newton, MA 02468, United States",https://www.google.com/maps/place/Charles+River+Wetlands+Trail/data=!4m7!3m6!1s0x89e38236e1e007a7:0xef9437402c6c0732!8m2!3d42.3215003!4d-71.2303206!16s%2Fg%2F11xzbph39!19sChIJpwfg4TaC44kRMgdsLEA3lO8?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ9Z2HK5Fw44kRuOhwi4Fp4FY,The Clubs at Charles River Park,94,Fitness center,"Fitness center, Weightlifting area",4.4,"10 Whittier Pl, Boston, MA 02114, United States",https://www.google.com/maps/place/The+Clubs+at+Charles+River+Park/data=!4m7!3m6!1s0x89e370912b879df5:0x56e069818b70e8b8!8m2!3d42.3657913!4d-71.0681228!16s%2Fg%2F1tm8f_76!19sChIJ9Z2HK5Fw44kRuOhwi4Fp4FY?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ4_ZMXxOB44kRQH_MIJ_A75o,The Charles River Center,33,Social services,"Social services, Association / Organization",4.2,"59 E Militia Heights Dr, Needham, MA 02492, United States",https://www.google.com/maps/place/The+Charles+River+Center/data=!4m7!3m6!1s0x89e381135f4cf6e3:0x9aefc09f20cc7f40!8m2!3d42.2892397!4d-71.2548321!16s%2Fg%2F1tdxrgql!19sChIJ4_ZMXxOB44kRQH_MIJ_A75o?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJf0y9v0J344kRBKShxTpZcNA,Charles River Conservancy,4,Non-profit organization,"Non-profit organization, Park, Water testing service",4,"S3-3, 43 Thorndike St #302, Cambridge, MA 02141, United States",https://www.google.com/maps/place/Charles+River+Conservancy/data=!4m7!3m6!1s0x89e37742bfbd4c7f:0xd070593ac5a1a404!8m2!3d42.369751!4d-71.0792351!16s%2Fg%2F1td48_1k!19sChIJf0y9v0J344kRBKShxTpZcNA?authuser=0&hl=en&rclk=1,charles river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
