place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJg_QIqD3Q4IkRux3Wu5G7FjM,Zoar Outdoor Adventure Resort,1452,Raft trip outfitter,"Raft trip outfitter, Adventure sports center, Canoe & kayak rental service, Canoe & kayak store, Canoe & kayak tour agency, Rafting",4.9,"7 Main St, Charlemont, MA 01339, United States",https://www.google.com/maps/place/Zoar+Outdoor+Adventure+Resort/data=!4m7!3m6!1s0x89e0d03da808f483:0x3316bb91bbd61dbb!8m2!3d42.6277451!4d-72.8837411!16s%2Fg%2F1tfj44xw!19sChIJg_QIqD3Q4IkRux3Wu5G7FjM?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJE6VD8-Yr4YkRRqzPKMmpETk,Deerfield River Portage,101,Raft trip outfitter,Raft trip outfitter,4.6,"MA-116 &, Roaring Brook Rd, Conway, MA 01341, United States",https://www.google.com/maps/place/Deerfield+River+Portage/data=!4m7!3m6!1s0x89e12be6f343a513:0x3911a9c928cfac46!8m2!3d42.5076335!4d-72.6748058!16s%2Fg%2F1hf48kb88!19sChIJE6VD8-Yr4YkRRqzPKMmpETk?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJyUfT1msp4YkR1u0LTRaADQk,Deerfield River,108,River,River,4.6,United States,https://www.google.com/maps/place/Deerfield+River/data=!4m7!3m6!1s0x89e1296bd6d347c9:0x90d80164d0bedd6!8m2!3d42.7917914!4d-72.916075!16zL20vMDU3NGMw!19sChIJyUfT1msp4YkR1u0LTRaADQk?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJk6in8zjQ4IkRJdiv1Awp0lk,Berkshire Whitewater,33,Raft trip outfitter,"Raft trip outfitter, Ski resort, Tour operator, Tourist attraction",4.8,"66 Thunder Mountain Rd, Charlemont, MA 01339, United States",https://www.google.com/maps/place/Berkshire+Whitewater/data=!4m7!3m6!1s0x89e0d038f3a7a893:0x59d2290cd4afd825!8m2!3d42.6209387!4d-72.8770955!16s%2Fg%2F11bv29z383!19sChIJk6in8zjQ4IkRJdiv1Awp0lk?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJxyM98ETX4IkRylV1iU0LfgM,Crab Apple Whitewater Massachusetts,776,Rafting,Rafting,4.9,"2056 Mohawk Trail, Charlemont, MA 01339, United States",https://www.google.com/maps/place/Crab+Apple+Whitewater+Massachusetts/data=!4m7!3m6!1s0x89e0d744f03d23c7:0x37e0b4d897555ca!8m2!3d42.6201868!4d-72.7653587!16s%2Fg%2F1v_z59xl!19sChIJxyM98ETX4IkRylV1iU0LfgM?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJt1HZnZss4YkRpySD6PmlxPM,Deerfield Recreation Department,2,Park,Park,3.5,"8 Conway St, South Deerfield, MA 01373, United States",https://www.google.com/maps/place/Deerfield+Recreation+Department/data=!4m7!3m6!1s0x89e12c9b9dd951b7:0xf3c4a5f9e88324a7!8m2!3d42.479387!4d-72.608115!16s%2Fg%2F1tzgq6hj!19sChIJt1HZnZss4YkRpySD6PmlxPM?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJN2ZfOxp8bIQREOyrvgct2VE,Adventure East,185,Outdoor activity organiser,"Outdoor activity organiser, Canoe & kayak tour agency, Tour operator, Wellness program",5,"11 Bridge St, Sunderland, MA 01375, United States",https://www.google.com/maps/place/Adventure+East/data=!4m7!3m6!1s0x846c7c1a3b5f6637:0x51d92d07beabec10!8m2!3d42.4663288!4d-72.5808807!16s%2Fg%2F11nxt02xpv!19sChIJN2ZfOxp8bIQREOyrvgct2VE?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJJT7RGfIs4YkR7p-RPN0yKyk,Mount Sugarloaf State Reservation,804,State park,"State park, Hiking area, Scenic spot, Tourist attraction",4.7,"300 Sugarloaf St, South Deerfield, MA 01373, United States",https://www.google.com/maps/place/Mount+Sugarloaf+State+Reservation/data=!4m7!3m6!1s0x89e12cf219d13e25:0x292b32dd3c919fee!8m2!3d42.4804451!4d-72.5883045!16s%2Fm%2F03cv1kh!19sChIJJT7RGfIs4YkR7p-RPN0yKyk?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtej4_Pcr4YkR615VI5B_y8c,Deerfield,0,,,0,"Massachusetts, USA",https://www.google.com/maps/place/Deerfield/data=!4m7!3m6!1s0x89e12bf7fcf8e8b5:0xc7cb7f9023555eeb!8m2!3d42.5445588!4d-72.6056435!16zL20vMHR6OGI!19sChIJtej4_Pcr4YkR615VI5B_y8c?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJjSQOasgu4YkRgAiw8fAmhfM,Indian House Children's Museum,7,Museum,"Museum, Tourist attraction",4,"107 Old Main St, Deerfield, MA 01342, United States",https://www.google.com/maps/place/Indian+House+Children%27s+Museum/data=!4m7!3m6!1s0x89e12ec86a0e248d:0xf38526f0f1b00880!8m2!3d42.54946!4d-72.604724!16s%2Fg%2F1td_zlv7!19sChIJjSQOasgu4YkRgAiw8fAmhfM?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ55lm0HIs4YkRczIKWqK3GIU,Magic Wings Butterfly Conservatory,2853,Museum of zoology,"Museum of zoology, Garden center, Museum, Tourist attraction",4.7,"281 Greenfield Rd, South Deerfield, MA 01373, United States",https://www.google.com/maps/place/Magic+Wings+Butterfly+Conservatory/data=!4m7!3m6!1s0x89e12c72d06699e7:0x8518b7a25a0a3273!8m2!3d42.5097492!4d-72.605741!16s%2Fg%2F1vd76xyq!19sChIJ55lm0HIs4YkRczIKWqK3GIU?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJQ4-7J7Yu4YkRO9yZXVepwAg,Historic Deerfield,305,History museum,"History museum, Tourist attraction",4.6,"80 Old Main St, Deerfield, MA 01342, United States",https://www.google.com/maps/place/Historic+Deerfield/data=!4m7!3m6!1s0x89e12eb627bb8f43:0x8c0a9575d99dc3b!8m2!3d42.5467165!4d-72.6040267!16zL20vMDQzOGdz!19sChIJQ4-7J7Yu4YkRO9yZXVepwAg?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJYT40g3zP4IkR9n9RJcXZzlY,Zoar Gap,18,Landmark,"Landmark, Tourist attraction",4.7,"River Rd, Drury, MA 01343, United States",https://www.google.com/maps/place/Zoar+Gap/data=!4m7!3m6!1s0x89e0cf7c83343e61:0x56ced9c525517ff6!8m2!3d42.6547616!4d-72.9556346!16s%2Fg%2F1q69sx2l9!19sChIJYT40g3zP4IkR9n9RJcXZzlY?authuser=0&hl=en&rclk=1,deerfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
