place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJX5GYyu8i44kR8m-AFVZeEfA,Essex River Cruises & Charters,121,Travel agency,"Travel agency, Boat tour agency, Caterer, Cruise agency, Event venue, Sightseeing tour agency, Wedding venue",4.7,"35 Dodge St, Essex, MA 01929, United States",https://www.google.com/maps/place/Essex+River+Cruises+%26+Charters/data=!4m7!3m6!1s0x89e322efca98915f:0xf0115e5615806ff2!8m2!3d42.6328089!4d-70.7762366!16s%2Fg%2F1v9t_xws!19sChIJX5GYyu8i44kR8m-AFVZeEfA?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJx_izP9si44kRcNhPCK7HTv0,Essex River,1,River,River,5,"Essex, MA 01929, USA",https://www.google.com/maps/place/Essex+River/data=!4m7!3m6!1s0x89e322db3fb3f8c7:0xfd4ec7ae084fd870!8m2!3d42.6157946!4d-70.773037!16s%2Fg%2F11bw7kbz7x!19sChIJx_izP9si44kRcNhPCK7HTv0?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJZ8OT5JUj44kRl8qI8vzrVOg,Essex River,2,River,River,5,"Essex, MA 01929, USA",https://www.google.com/maps/place/Essex+River/data=!4m7!3m6!1s0x89e32395e493c367:0xe854ebfcf288ca97!8m2!3d42.6528722!4d-70.7397692!16s%2Fg%2F1wc327n0!19sChIJZ8OT5JUj44kRl8qI8vzrVOg?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,1043,Nature preserve,"Nature preserve, Bird watching area, Children's camp, Hiking area, Non-profit organization, Tourist attraction, Wildlife refuge",4.9,"87 Perkins Row, Topsfield, MA 01983, United States",https://www.google.com/maps/place/Mass+Audubon%27s+Ipswich+River+Wildlife+Sanctuary/data=!4m7!3m6!1s0x89e310a78cbf9e89:0x7e03543baf38984d!8m2!3d42.6315426!4d-70.9205814!16s%2Fm%2F02z325s!19sChIJiZ6_jKcQ44kRTZg4rztUA34?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtTxVCm8B5IkRdQoXNfYjl6Q,Essex County,0,,,0,"Massachusetts, USA",https://www.google.com/maps/place/Essex+County/data=!4m7!3m6!1s0x89e4016f0a553cb5:0xa49723f635170a75!8m2!3d42.7051144!4d-70.9071236!16zL20vMGszaG4!19sChIJtTxVCm8B5IkRdQoXNfYjl6Q?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ_eLs_e4i44kR2EL78DHXFgY,The Essex Historical Society and Shipbuilding Museum,68,Museum,"Museum, Tourist attraction",4.7,"66, 28 Main St, Essex, MA 01929, United States",https://www.google.com/maps/place/The+Essex+Historical+Society+and+Shipbuilding+Museum/data=!4m7!3m6!1s0x89e322eefdece2fd:0x616d731f0fb42d8!8m2!3d42.6326972!4d-70.7794064!16s%2Fg%2F11c46j3h83!19sChIJ_eLs_e4i44kR2EL78DHXFgY?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJHQvJbtAj44kRG8geH0l-xHY,Allyn Cox reservation,4,Hiking area,Hiking area,4.8,"82 Eastern Ave, Essex, MA 01929, United States",https://www.google.com/maps/place/Allyn+Cox+reservation/data=!4m7!3m6!1s0x89e323d06ec90b1d:0x76c47e491f1ec81b!8m2!3d42.6344197!4d-70.7649042!16s%2Fg%2F11svlsgywz!19sChIJHQvJbtAj44kRG8geH0l-xHY?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJy1dqahif44kR2B2EdQYxpi4,Essex,0,,,0,"Massachusetts, USA",https://www.google.com/maps/place/Essex/data=!4m7!3m6!1s0x89e39f186a6a57cb:0x2ea6310675841dd8!8m2!3d42.6319582!4d-70.7829315!16zL20vMDFoem56!19sChIJy1dqahif44kR2B2EdQYxpi4?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJvSuuJL0h44kRv6tj7GtQS6k,Sandy Point State Reservation,603,State park,"State park, Hiking area, Swimming basin, Tourist attraction",4.8,"Parker River Wildlife, 37-39 Refuge Rd, Ipswich, MA 01938, United States",https://www.google.com/maps/place/Sandy+Point+State+Reservation/data=!4m7!3m6!1s0x89e321bd24ae2bbd:0xa94b506bec63abbf!8m2!3d42.704324!4d-70.779404!16zL20vMGY2a2di!19sChIJvSuuJL0h44kRv6tj7GtQS6k?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtdM-Hewi44kREdQ6_iZg1mM,Memorial Park,16,Athletic field,Athletic field,4.7,"24 Martin St, Essex, MA 01929, United States",https://www.google.com/maps/place/Memorial+Park/data=!4m7!3m6!1s0x89e322ec1d3ed3b5:0x63d66026fe3ad411!8m2!3d42.6314803!4d-70.7824399!16s%2Fg%2F11cmysfvy8!19sChIJtdM-Hewi44kREdQ6_iZg1mM?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ29jVDF4i44kR4F94Zh-UqIM,Stavros Reservation,22,Park,"Park, Tourist attraction",4,"1-15 Island Rd, Essex, MA 01929, United States",https://www.google.com/maps/place/Stavros+Reservation/data=!4m7!3m6!1s0x89e3225e0cd5d8db:0x83a8941f66785fe0!8m2!3d42.6506441!4d-70.7839268!16s%2Fm%2F0swl7wx!19sChIJ29jVDF4i44kR4F94Zh-UqIM?authuser=0&hl=en&rclk=1,essex river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
