place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChdDSUhNMG9nS0VJQ0FnSUR6XzluU2lnRRAB,5,"Tons of trails (12 miles!) through woods and wetland. Lots of opportunities for bird watching. Easy-going trails with benches scattered about and an observation tower, featuring a great view over a swamp. 7 dollar fee for non-members - definitely worth it!",a month ago,2024-06-13T21:56:31,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPtgjOQMgCCcNn0Hk9JkBCCwjDwdYDa-c0T6gRw=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOjV9r3lc0Dk_350VsVda6wkH2lakTnwSuLkbf8=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOX4UVPX2ZLSa3hx-nId0XvPXZUs0MITzP_bw3U=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMpiey4hgcv0PH3O5zV-by2UcQKmhYtCA9HjqvB=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPvB0hUeek1GEYXWxxm9g8K_vx9JQo7s6TaPkv0=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNYuW5SWreTy3FFPc7Fcn8phbrvKPwLYHS9pVQS=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOaLQxO3EY3MiDRNCLuPp9QWT4IQfxM08Ynvymt=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO9m9ayqGoL6CMhciqcpJ9ZZXFhTapOAi1LLQlR=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChZDSUhNMG9nS0VJQ0FnSURMNHFiZE5nEAE,5,"This is one of my favorite places to go! You can go for a walk, bird watch, feed the birds, and just enjoy the variety of trails and sights to see. I will always recommend this wildlife sanctuary!",4 weeks ago,2024-06-26T14:03:18,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipMVO5Pp-o-EwPTPiRj3yJDj9BUjphLpvS92YChY=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOmlRw9OfH5GSfeVz9_-Vgp-q3pANGKiJ46vIE5=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNkGg4fpvrwB2q7xkFBqVS8BoEhNgG7aX9JKeK6=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO6AqZGe1_4cfndngFNHaC8Bjv_CIhI31u9m8cf=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPFwdGDz1pc2w2MWuZGXRpANEyB20RxPMzyAN0T=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM4yNQdnVnzvpg6wiwwO9djQ2z0VW-4zMFJ8qXz=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMoPHDUNEfBHizBV9-RAvfSG6h8cFY_0ATOPJO5=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPoxoqlgLK3QKwyP4OlqtwdLArUUeehgtZc4SYD=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPD0tRl-OCVohTePzqfXjbjtFKKU6atsdn7W7ax=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNJAziV4p4bc_U15hlrBOoKNi21vep7lN95EMZX=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOSfyimqFUHFL96vI5QFwIarsidV3EWrmLQAlll=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMe-68h584RJ8JnQNnp_UfXGE1LIW8qZ_uqtg_n=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMIgv56YStwPj6vXcd_uv9YcKymGwKYshoQ3MIb=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN7JIjkaqbifdERwB2CdOAlQqKUgf4UlnE4RiTX=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMiuk-ggOr3guUBRmZUI3SgWsm0tYRArJXxnk_R=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOshzvofMd5IozBH-J6e-tTQB9O2Zw7-MWm0Bje=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNScDXgY-2CnuoNsx5ZaZue0CYjYr_CKQl6v8Ea=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP4qxZrIztiQ_a1M0-fa5EweVKS9iz64d2IbX8W=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPa1pTaq_9nSe7gdKwj2fECujuZHefJsuaHxXPe=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNS6p5ijPMzcgh3vbrwNVoQdwOFnPXJysrEQVQs=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNaNfJSyMedLWMQd4iYlZqotqdZV933u0PVUgpz=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPzGKIwzlEaYOsl4yT3qEZbZe2PYIq1aWWirrGJ=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChdDSUhNMG9nS0VJQ0FnSUNkak9uWHZRRRAB,5,"A beautiful park for a short easy strolling through forest and on riverside walks. A LOT of birds! Well maintained paths. There is an entrance fee, though, if not a member of Mass Audubon.
Winter (without snow) forest & ponds were beautiful, will try other seasons.",5 months ago,2024-02-13T04:37:33,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNHSFNgOrQpnOmpVQyN0PL7SVuNwq0kIbiDUMC2=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPEv1mwiYkVMMgBw_pmHj7unSqOqacmzHfWgGkI=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOvZJQr1OgVSV_AHc79ZEJDcJCOUfJJTRQga3y3=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipN-t53fMfTqg-Os_3iTlsTxbgAVHGg2EDvjJCjq=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChdDSUhNMG9nS0VJQ0FnSUNObk1pSl9nRRAB,5,"Great place to see birds with nice trails along the coastal marshlands. I only had about an hour, but still got to see a bunch of different birds up close including a hawk. Parts of the trail were submerged after a rainy week, but the views were still amazing.

Admission fee was $7 for adults and $4 for kids.",6 months ago,2024-01-12T19:06:52,,,,1,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipNENl-nXcdUJW9uXxgyeiblQn5-L4O6e1Jv6oXO=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipM5diUERS2GEdmbZcTJ-xPyWpX_5PHoPSX6cPHu=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNVxt9CtKKHN7yQ28eMAAmsL77ewPnIKfU0gYcW=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP9W6isPQhNhj8IOGxjLOUwm2XI1wP_rYuj7vDv=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOgulfls5JqZVKTqBcFUTwyz4hqegFDd1PTV0zb=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNk8B0q4uiremIS5f0TXKBjLlaTcIyKvHjGHLjp=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChZDSUhNMG9nS0VJQ0FnSURyamU2NVBBEAE,3,Nice area to walk but some of the main trails aren't cleared well and you end up in grassy and muddy areas. My daughter loves it here for the bird watching and feeding the chickadees so we continue to go during spring and summer. The bathrooms are pretty clean and that's a plus.,6 days ago,2024-07-19T03:07:18,,,,0,,,False,,,[]
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChZDSUhNMG9nS0VJQ0FnSUNUelBuUkpREAE,5,"Wonderful place for trails and bird wildlife.
My kids loved it",2 months ago,2024-05-11T20:47:18,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipMCKFHcA1hHkGd9rQrFRK6Xy_SGfwE-7djGidpi=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNQ5eyA6sqMjJKqZJq9GOwhnMV-UZ1TqVvD21Ss=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOAp4f1gJZugv6IleVy-XaQsTIdF9LLw1ZJEJYY=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOtFbkGJ96dyUc_AOhclfI-YyHV7dOfGho6gsSw=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMs8yfgxz-LkK_56YMwWk1Z3YJmquu2NUnqWffm=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO0YeInjRYh1zNPqBdQzfEYHlt31CSYmi5ou0j_=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP3jT7zLym7ITPPkykn7xFfs5y5SoNg37e4vIzg=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipP_-83Spw4ERffPKUYtaeYLewBA5sc_C_Smj-NY=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChZDSUhNMG9nS0VJQ0FnSUNsd1phRUd3EAE,5,"BRING BIRD SEED WITH YOU.
Absolute favorite place for a walk. I get to explore so many natural feature and species. Give me a love for birds every time I go here. Special place with long history of many generations of tons of bird species. The birds have been extra friendly here throughout generations. It's hard to find that anywhere else.
Take a big loop. Go on trails with less people. Explore. More chances to have a bird feed of your hand",8 months ago,2023-11-20T03:25:31,,,,4,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipPYFPHMYVrBnKXeJXc-yUjGzCCbo08w3fgi0Ob7=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOfgp8d9piIl6CueC6Xml6JDdp28K-LyBY7KUMn=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMWwdt9DSfrytMbIdb2hdeO1wOknKSZhneref4B=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPzTYVvD-2EpgchSwQFY5GMPzKCacALbpPB1zgU=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNrOF3TjXSeir1SfN_S4GGn3KOdbnIlQ0bFrA2q=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMmhMEj0klv14Y9xPlAc3-1Z4UXRFUVENc_2W8Y=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOY9RF257ZQczgcAsE6A4O0QqAmZZuwdk-LMbBa=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipO9Q_E32wuZERYzxZVWIlOaWL7gb_7n36lu8u3u=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNRV1qpd5w1Ut6ZimZDHH--aYDmeaZkufwF0roI=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOQGr-Hx2kHTkvqbktoFtAT8eA6ubAJDFo7SK8Q=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPJDjWF4S41n1cRniHTLfEmCcUxMm6IcHCSTpIx=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOPe4nAmw_OBENQRRBjU6clMWKIY6O7hStIpzRo=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNJ30qmwc9tzzExHd_j9W1e6ZgutlA852hgyU7y=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPSDsw-IIsYKcT55COdh9LRt-leBy0eREEY68NV=w150-h150-k-no-p""]"
ChIJiZ6_jKcQ44kRTZg4rztUA34,Mass Audubon's Ipswich River Wildlife Sanctuary,ChdDSUhNMG9nS0VJQ0FnSURMdk5uem1BRRAB,5,"Expansive grounds with woods, fields, pond, river and varying terrain. I went with my husband who tires easily and had his walker with a seat. We followed Bradstreet and Drumlin trails. Parts were a little rocky for the wheels of the walker but he managed. We were unable though to take any of the side trails to see some of the better sights due to rougher ground or inclines. There were benches along the trail to rest. We saw many birds and had little ones eating birdseed from our hands. Very peaceful and enjoyable.",4 weeks ago,2024-06-26T07:39:56,,,,0,,,False,,,[]
ChIJAXc7F-4Y44kRBD8zQTS-iGE,Ipswich River Watershed Association,ChZDSUhNMG9nS0VJQ0FnSUN3MV9UVmZnEAE,5,"This is a gorgeous place staffed by incredibly friendly people. Worth every single penny of the annual membership.

Supporting this organization helps keep our drinking water clean and safe, local ecology protected, and gives you boating access to this beautiful river. Do it!",8 years ago,2016-06-10T17:54:28,"Thanks, Sean! Glad to have you as a member :)",3 years ago,2020-09-03T18:40:35,2,,,False,,,[]
ChIJAXc7F-4Y44kRBD8zQTS-iGE,Ipswich River Watershed Association,ChdDSUhNMG9nS0VJQ0FnSUR1MktTVW93RRAB,5,Incredible Gem in the heart of the North Shore.  Great organization with a dedicated team working hard to save our most important asset. Spread the word and donate what you can.,a year ago,2022-08-12T20:17:22,,,,0,,,False,,,[]
