place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJc9jZVIPS5okRBvAICfuVy8A,Mill River Recreation Area,308,Park,"Park, Tourist attraction",4.6,"95 Montague Rd, Amherst, MA 01002, United States",https://www.google.com/maps/place/Mill+River+Recreation+Area/data=!4m7!3m6!1s0x89e6d28354d9d873:0xc0cb95fb0908f006!8m2!3d42.4122164!4d-72.5267681!16s%2Fg%2F1tgh3_q6!19sChIJc9jZVIPS5okRBvAICfuVy8A?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJsaEmAJ3X5okRd68esjoRL4g,Mill River,10,River,River,4.9,"Northampton, MA, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e6d79d0026a1b1:0x882f113ab21eaf77!8m2!3d42.3186182!4d-72.6646165!16s%2Fm%2F02qcpy_!19sChIJsaEmAJ3X5okRd68esjoRL4g?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJG79qxWPN5okRbryMJodr11s,Mill River Conservation Area,70,Park,"Park, Tourist attraction",4.6,"426 State St, Amherst, MA 01002, United States",https://www.google.com/maps/place/Mill+River+Conservation+Area/data=!4m7!3m6!1s0x89e6cd63c56abf1b:0x5bd76b87268cbc6e!8m2!3d42.4152481!4d-72.5156762!16s%2Fg%2F1hc5g9jvd!19sChIJG79qxWPN5okRbryMJodr11s?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ-dDhJ41v54kRvi6DUspXyKI,Mill River,0,,,0,"New Marlborough, MA, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e76f8d27e1d0f9:0xa2c857ca52832ebe!8m2!3d42.1153025!4d-73.2684274!16s%2Fm%2F0496qqf!19sChIJ-dDhJ41v54kRvi6DUspXyKI?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ93VTb6PX5okREExT3q2ulwg,Mill River Trail,2,Hiking area,Hiking area,4.5,"65 Ward Ave, Northampton, MA 01060, United States",https://www.google.com/maps/place/Mill+River+Trail/data=!4m7!3m6!1s0x89e6d7a36f5375f7:0x897aeadde534c10!8m2!3d42.3211704!4d-72.6531059!16s%2Fg%2F11v1822428!19sChIJ93VTb6PX5okREExT3q2ulwg?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJiyEHKaIr4YkRcxCfcucLkcI,Mill River,0,,,0,"Deerfield, MA 01373, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e12ba22907218b:0xc2910be7729f1073!8m2!3d42.5014758!4d-72.6412006!16s%2Fm%2F0496sx1!19sChIJiyEHKaIr4YkRcxCfcucLkcI?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ4Z-TUpvS5okR0ycieVGIpcM,Mill River Pool,71,Public swimming pool,Public swimming pool,4.5,"95 Montague Rd, Amherst, MA 01002, United States",https://www.google.com/maps/place/Mill+River+Pool/data=!4m7!3m6!1s0x89e6d29b52939fe1:0xc3a58851792227d3!8m2!3d42.4123096!4d-72.5276674!16s%2Fg%2F1tfryhv4!19sChIJ4Z-TUpvS5okR0ycieVGIpcM?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJj0KG7_Yp54kRzi-hhfDS-iU,Mill River,3,River,River,5,"Williamsburg, MA, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e729f6ef86428f:0x25fad2f085a12fce!8m2!3d42.3884422!4d-72.7202951!16zL20vMDlyc2c1!19sChIJj0KG7_Yp54kRzi-hhfDS-iU?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJn0_7-2HN5okR2C25AvXXqjk,Mill River,3,River,River,4.7,"Massachusetts, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e6cd61fbfb4f9f:0x39aad7f502b92dd8!8m2!3d42.400978!4d-72.5379109!16s%2Fg%2F11b6_hwqqp!19sChIJn0_7-2HN5okR2C25AvXXqjk?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJH9bpRezm5okRzgZ67vf_meA,Mill River,2,River,River,3,"Springfield, MA 01105, USA",https://www.google.com/maps/place/Mill+River/data=!4m7!3m6!1s0x89e6e6ec45e9d61f:0xe099fff7ee7a06ce!8m2!3d42.0889833!4d-72.5834219!16s%2Fm%2F0h5307m!19sChIJH9bpRezm5okRzgZ67vf_meA?authuser=0&hl=en&rclk=1,mill river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
