place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJ7_hMqX5844kRKd9ndF-IsUk,Neponset River Reservation,453,Park,"Park, Tourist attraction",4.5,"2 Granite Ave, Milton, MA 02186, United States",https://www.google.com/maps/place/Neponset+River+Reservation/data=!4m7!3m6!1s0x89e37c7ea94cf8ef:0x49b1885f7467df29!8m2!3d42.2789212!4d-71.0521634!16s%2Fg%2F1tgb8c6p!19sChIJ7_hMqX5844kRKd9ndF-IsUk?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJK3CUXnl744kRS9Q-G94pXXY,Neponset River Estuary Area of Critical Environmental Concern,7,Biking trail,"Biking trail, Hiking area",4.6,"Hallet St, Boston, MA 02124, United States",https://www.google.com/maps/place/Neponset+River+Estuary+Area+of+Critical+Environmental+Concern/data=!4m7!3m6!1s0x89e37b795e94702b:0x765d29de1b3ed44b!8m2!3d42.2795744!4d-71.0441276!16s%2Fg%2F11b77bxr9k!19sChIJK3CUXnl744kRS9Q-G94pXXY?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJyU3kQJp-44kRJU9inMS38aY,Neponset River Reservation,63,Park,Park,4.3,"330 Truman Pkwy, Milton, MA 02186, United States",https://www.google.com/maps/place/Neponset+River+Reservation/data=!4m7!3m6!1s0x89e37e9a40e44dc9:0xa6f1b7c49c624f25!8m2!3d42.2604008!4d-71.1066015!16s%2Fg%2F11gt__n2bv!19sChIJyU3kQJp-44kRJU9inMS38aY?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJe4ERjBp844kRVrtP8kBx3v4,Lower Neponset River Trail,97,State park,State park,4.6,"Neponset Trail, Boston, MA 02126, United States",https://www.google.com/maps/place/Lower+Neponset+River+Trail/data=!4m7!3m6!1s0x89e37c1a8c11817b:0xfede7140f24fbb56!8m2!3d42.2695348!4d-71.086615!16s%2Fg%2F11c5zz27dr!19sChIJe4ERjBp844kRVrtP8kBx3v4?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJFY0quvRM5IkRGUFYYL69uLk,Neponset River,7,River,River,4.1,"Massachusetts, USA",https://www.google.com/maps/place/Neponset+River/data=!4m7!3m6!1s0x89e44cf4ba2a8d15:0xb9b8bdbe60584119!8m2!3d42.2834603!4d-71.0414622!16zL20vMDNiNDV4!19sChIJFY0quvRM5IkRGUFYYL69uLk?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJOd49L-uB5IkR2vZX4UoGKMI,Neponset River Watershed Association,2,Environmental protection organization,Environmental protection organization,5,"2173 Washington St, Canton, MA 02021, United States",https://www.google.com/maps/place/Neponset+River+Watershed+Association/data=!4m7!3m6!1s0x89e481eb2f3dde39:0xc228064ae157f6da!8m2!3d42.1916483!4d-71.117506!16s%2Fg%2F1tjkgtjm!19sChIJOd49L-uB5IkR2vZX4UoGKMI?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJX93lrtJ744kRAF64lzLHuNc,Neponset River Kayaks,0,Canoe & kayak rental service,Canoe & kayak rental service,0,"64 Hill Top St, Boston, MA 02124, United States",https://www.google.com/maps/place/Neponset+River+Kayaks/data=!4m7!3m6!1s0x89e37bd2aee5dd5f:0xd7b8c73297b85e00!8m2!3d42.2791613!4d-71.0511266!16s%2Fg%2F11qh2jd6w1!19sChIJX93lrtJ744kRAF64lzLHuNc?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJXYVWOed744kRW5GILpxMfck,Playground at the Neponset Trail,3,Playground,Playground,3.7,"Boston, MA 02124, United States",https://www.google.com/maps/place/Playground+at+the+Neponset+Trail/data=!4m7!3m6!1s0x89e37be73956855d:0xc97d4c9c2e88915b!8m2!3d42.2835599!4d-71.0426632!16s%2Fg%2F11s57lk1l_!19sChIJXYVWOed744kRW5GILpxMfck?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ6ZZb7jx-5IkRozX6CSSvUag,Neponset River,1,River,River,4,"Massachusetts, USA",https://www.google.com/maps/place/Neponset+River/data=!4m7!3m6!1s0x89e47e3cee5b96e9:0xa851af2409fa35a3!8m2!3d42.1687494!4d-71.2088427!16s%2Fg%2F11bw7tsrsq!19sChIJ6ZZb7jx-5IkRozX6CSSvUag?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJdawlf3l744kRKXmd9FkzsvY,"Pope John Paul II Park, Boston",638,State park,"State park, Tourist attraction",4.5,"Hallet St, Boston, MA 02124, United States","https://www.google.com/maps/place/Pope+John+Paul+II+Park,+Boston/data=!4m7!3m6!1s0x89e37b797f25ac75:0xf6b23359f49d7929!8m2!3d42.282797!4d-71.0430827!16s%2Fm%2F080fjr7!19sChIJdawlf3l744kRKXmd9FkzsvY?authuser=0&hl=en&rclk=1",neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJA8_8VqB744kRrkXtB4uvhrw,Victory Road Park,43,Park,Park,4.3,"69-81 Victory Rd, Boston, MA 02122, United States",https://www.google.com/maps/place/Victory+Road+Park/data=!4m7!3m6!1s0x89e37ba056fccf03:0xbc86af8b07ed45ae!8m2!3d42.2961043!4d-71.0511152!16s%2Fg%2F11g6x96665!19sChIJA8_8VqB744kRrkXtB4uvhrw?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ7e27a8x644kRoHwCsZ36CUA,Outward Bound Education Center,8,Outdoor activity organiser,"Outdoor activity organiser, Event venue, Youth organization",4.9,"National Park, Boston, Quincy, MA 02171, United States",https://www.google.com/maps/place/Outward+Bound+Education+Center/data=!4m7!3m6!1s0x89e37acc6bbbeded:0x4009fa9db1027ca0!8m2!3d42.31871!4d-71.006438!16s%2Fg%2F1tk9rscr!19sChIJ7e27a8x644kRoHwCsZ36CUA?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ7xKsI3B744kRQhIYI0vXV7A,Neponset Bridge,7,Bridge,Bridge,3.4,"Neponset Ave, Boston, MA 02122, United States",https://www.google.com/maps/place/Neponset+Bridge/data=!4m7!3m6!1s0x89e37b7023ac12ef:0xb057d74b23181242!8m2!3d42.2841502!4d-71.0393638!16s%2Fg%2F11f54zpb6f!19sChIJ7xKsI3B744kRQhIYI0vXV7A?authuser=0&hl=en&rclk=1,neponset river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
