place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJoevtps5y44kRxJ-QaxHLHsk,Breakheart Reservation,2131,State park,"State park, Hiking area, Park, Tourist attraction",4.7,"177 Forest St, Saugus, MA 01906, United States",https://www.google.com/maps/place/Breakheart+Reservation/data=!4m7!3m6!1s0x89e372cea6edeba1:0xc91ecb116b909fc4!8m2!3d42.4835501!4d-71.0315251!16zL20vMGYxeDRx!19sChIJoevtps5y44kRxJ-QaxHLHsk?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJcwhzpZxy44kRKNBug28D-g8,Saugus Iron Works National Historic Site,457,Historical place,"Historical place, Tourist attraction",4.7,"244 Central St, Saugus, MA 01906, United States",https://www.google.com/maps/place/Saugus+Iron+Works+National+Historic+Site/data=!4m7!3m6!1s0x89e3729ca5730873:0xffa036f836ed028!8m2!3d42.4679503!4d-71.0081272!16zL20vMDczdGs1!19sChIJcwhzpZxy44kRKNBug28D-g8?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ7x6cA-lz44kRM-ybCy8HbIU,Gatcha,1336,Video arcade,Video arcade,4.9,"1201 Broadway, Saugus, MA 01906, United States",https://www.google.com/maps/place/Gatcha/data=!4m7!3m6!1s0x89e373e9039c1eef:0x856c072f0b9bec33!8m2!3d42.4606134!4d-71.027119!16s%2Fg%2F11vb2s_5cp!19sChIJ7x6cA-lz44kRM-ybCy8HbIU?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ1_p6xn5y44kRv0zrCxhxoXg,Saugus Youth & Recreation Department,13,Community center,Community center,4.5,"400 Central St, Saugus, MA 01906, United States",https://www.google.com/maps/place/Saugus+Youth+%26+Recreation+Department/data=!4m7!3m6!1s0x89e3727ec67afad7:0x78a171180beb4cbf!8m2!3d42.4578977!4d-71.0093857!16s%2Fg%2F1v44fzvm!19sChIJ1_p6xn5y44kRv0zrCxhxoXg?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJJfZU4fFy44kRvIWbl3Y3TeE,Saugus Family YMCA and Gymnastics Center,50,Fitness center,"Fitness center, After school program, Children's camp, Child care agency, Day care center, Gym, Gymnastics center, Physical fitness program, Pickleball court, Youth organization",4.2,"298 Main St, Saugus, MA 01906, United States",https://www.google.com/maps/place/Saugus+Family+YMCA+and+Gymnastics+Center/data=!4m7!3m6!1s0x89e372f1e154f625:0xe14d3776979b85bc!8m2!3d42.4701337!4d-71.0345394!16s%2Fg%2F1tddt63d!19sChIJJfZU4fFy44kRvIWbl3Y3TeE?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJaUc1wpJy44kRLoPh5cvboec,Plaster Fun Time,103,Do-it-yourself shop,Do-it-yourself shop,4.2,"910 Broadway, Saugus, MA 01906, United States",https://www.google.com/maps/place/Plaster+Fun+Time/data=!4m7!3m6!1s0x89e37292c2354769:0xe7a1dbcbe5e1832e!8m2!3d42.4693684!4d-71.0248494!16s%2Fg%2F1tk8d3mh!19sChIJaUc1wpJy44kRLoPh5cvboec?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJqzmzjrBy44kRSSTTdHxQrrQ,Roller World,1047,Roller skating rink,"Roller skating rink, Party planner",4.2,"425R Broadway, Saugus, MA 01906, United States",https://www.google.com/maps/place/Roller+World/data=!4m7!3m6!1s0x89e372b08eb339ab:0xb4ae507c74d32449!8m2!3d42.4866667!4d-71.0194444!16s%2Fg%2F1tczwywz!19sChIJqzmzjrBy44kRSSTTdHxQrrQ?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJj4Le9bBy44kRkq8O9fGUwJc,Skull Cliff Parking,48,Hiking area,"Hiking area, Tourist attraction",4.4,"325 Broadway, Saugus, MA 01906, United States",https://www.google.com/maps/place/Skull+Cliff+Parking/data=!4m7!3m6!1s0x89e372b0f5de828f:0x97c094f1f50eaf92!8m2!3d42.5104029!4d-71.0068408!16s%2Fg%2F11bwyt9t_5!19sChIJj4Le9bBy44kRkq8O9fGUwJc?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJO9Sys35y44kRxj383dZC-oU,Saugus Senior Citizen Center,22,Senior citizen center,Senior citizen center,4.8,"466 Central St, Saugus, MA 01906, United States",https://www.google.com/maps/place/Saugus+Senior+Citizen+Center/data=!4m7!3m6!1s0x89e3727eb3b2d43b:0x85fa42d6ddfc3dc6!8m2!3d42.4533113!4d-71.0067571!16s%2Fg%2F1tm89fsl!19sChIJO9Sys35y44kRxj383dZC-oU?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJuXrOWn9344kRhf1nz32DeRQ,American Outdoor School,4,Outdoor activity organiser,Outdoor activity organiser,4.8,"131 Walnut St, Saugus, MA 01906, United States",https://www.google.com/maps/place/American+Outdoor+School/data=!4m7!3m6!1s0x89e3777f5ace7ab9:0x1479837dcf67fd85!8m2!3d42.4926373!4d-71.0200437!16s%2Fg%2F11gnrqjkg1!19sChIJuXrOWn9344kRhf1nz32DeRQ?authuser=0&hl=en&rclk=1,saugus activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
