place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChZDSUhNMG9nS0VJQ0FnSUNpeVpHSUlREAE,5,"I often put in from Sherman's Bridge, and kayak a few miles either up or down river; beautiful marshes and nature preserves, either way,  few but friendly rowers and paddlers, and at least in Fall, no  motor boats. The water seems clean and the shores are pristine, and not so muddy as the Charles and Concord.
At this time of year, lots of muskrats gathering provisions for the winter.",3 years ago,2020-11-07T02:34:12,,,,1,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChZDSUhNMG9nS0VJQ0FnSURvbnR6ZVdREAE,5,Nice! Enjoyed myself!,5 years ago,2019-03-17T02:08:53,,,,1,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChZDSUhNMG9nS0VJQ0FnSURnOW9ydEpnEAE,5,,6 years ago,2017-09-13T19:00:04,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipP8dE3eeCvDuLJ_hhFMacmEHssAaUFQBd5ILzad=w150-h150-k-no-p""]"
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChZDSUhNMG9nS0VJQ0FnSUNHOUtPTFJnEAE,5,,2 years ago,2021-10-21T23:22:32,,,,0,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChdDSUhNMG9nS0VJQ0FnSURLbHBDVDRnRRAB,5,,3 years ago,2021-05-10T14:53:37,,,,0,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChdDSUhNMG9nS0VJQ0FnSURNbnNyaDZRRRAB,5,,4 years ago,2019-12-31T01:11:36,,,,0,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChZDSUhNMG9nS0VJQ0FnSURvN3AyVWJREAE,3,,5 years ago,2019-03-16T21:49:46,,,,0,,,False,,,[]
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,ChdDSUhNMG9nS0VJQ0FnSUNRb0kzRWxRRRAB,5,,6 years ago,2017-07-29T20:59:03,,,,0,,,False,,,[]
ChIJtVc2lnSO44kRIjkS6PVT-PY,Assabet River National Wildlife Refuge,ChZDSUhNMG9nS0VJQ0FnSUM5bll2SWRnEAE,5,"The bunkers and the ponds were the highlights. Awesome weathered bunkers throughout the trails from WW2, ponds left and right with many birds. Beautiful views in the winter, can't wait to see them in the summer. It's a 8 mile hike if you do the whole loop. Definitely worth it. You can even see the old light and power line and poles from when people used to live in that land!",4 months ago,2024-03-08T15:25:35,,,,2,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipM8puCz2AyK8RYruVko_mnX9XVOV0NHgwAwE-Vq=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMwIrYKlRt-zzf7WST0yu8cLfFyMlkT9JAHmJON=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNzD4gTuPsVmiR_vw0Tw3WRfoKCjLN1GwbJR2U4=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNh2b89b9HUImNeMds3wCHs09IspDuGNmnATIEB=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNnTwl1mj87-tgLLXDNm5wpta63Yyk2NKB8iSbk=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMBMNKyisZFESl9SrvMC-fxdok-A_bMPccJEjRE=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNYCgqyc2I53bNKYtEXpV9EE77_TudY4dMz2EAN=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipOkvGm8pLjJRIISNvV_iQnlPElBP_djGrdKo9e9=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNT3zukhKABxp617wGpysIBY1JYsqvrK5Y_m38E=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipPtZ03eSOaGHoDEl8OSlkj9qivHqVvf_EWOijKR=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMFo_vbDshVhpmCSdyg43hLzZclJXG8mfaStoXg=w150-h150-k-no-p""]"
ChIJtVc2lnSO44kRIjkS6PVT-PY,Assabet River National Wildlife Refuge,ChZDSUhNMG9nS0VJQ0FnSUREb0xfS09REAE,4,"The birds were out. I saw some bird watchers. I heard a woodpecker and saw some ducks, etc. There was water over the trail so I didn't explore too much.

The Rice Tavern was interesting. The basement and stairs as well as the foundation remained. I might not have seen it if it weren't a PokeStop.",3 months ago,2024-04-04T10:12:23,,,,0,,,False,,,"[""https://lh5.googleusercontent.com/p/AF1QipO3_x4bAhhb5FX3WWG_lV-k1__6vIk57HbHVU8m=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMh0wRK0hH4wnHTt9XhV2ruDNH4ZUZ4E1Es37P7=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMyTMELmtfstiEOTaZyEnV254Sxdy0JrB7cwPHY=w150-h150-k-no-p""]"
