place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,8,River,River,4.8,"Concord, MA 01742, USA",https://www.google.com/maps/place/Sudbury+River/data=!4m7!3m6!1s0x89e39a641cfbb0f5:0x1f4950af079c1308!8m2!3d42.44484!4d-71.3695102!16s%2Fm%2F02665rv!19sChIJ9bD7HGSa44kRCBOcB69QSR8?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtVc2lnSO44kRIjkS6PVT-PY,Assabet River National Wildlife Refuge,587,Wildlife refuge,"Wildlife refuge, National reserve, Tourist attraction",4.7,"680 Hudson Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Assabet+River+National+Wildlife+Refuge/data=!4m7!3m6!1s0x89e38e74963657b5:0xf6f853f5e8123922!8m2!3d42.4078524!4d-71.4714928!16s%2Fm%2F0805k4x!19sChIJtVc2lnSO44kRIjkS6PVT-PY?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJB3hv20WO44kR28Fm9sLnwYQ,Sudbury Parks and Recreation,13,Park,"Park, Tourist attraction",4.2,"40 Fairbank Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Sudbury+Parks+and+Recreation/data=!4m7!3m6!1s0x89e38e45db6f7807:0x84c1e7c2f666c1db!8m2!3d42.3931441!4d-71.443794!16s%2Fg%2F1tgj9v7l!19sChIJB3hv20WO44kR28Fm9sLnwYQ?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJKSltgG-a44kR6ptv2gsesWg,Sudbury River Swamp,0,Wetland,Wetland,0,"Concord, MA 01742, USA",https://www.google.com/maps/place/Sudbury+River+Swamp/data=!4m7!3m6!1s0x89e39a6f806d2929:0x68b11e0bda6f9bea!8m2!3d42.4505495!4d-71.3664793!16s%2Fg%2F1hhnzrv20!19sChIJKSltgG-a44kR6ptv2gsesWg?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJdfbbREd15IkRdEfCjDFtrtE,Sudbury River,47,Tourist attraction,Tourist attraction,4.1,"Hopkinton, MA 01748, United States",https://www.google.com/maps/place/Sudbury+River/data=!4m7!3m6!1s0x89e4754744dbf675:0xd1ae6d318cc24774!8m2!3d42.2667323!4d-71.5568167!16s%2Fg%2F1tfv1kyd!19sChIJdfbbREd15IkRdEfCjDFtrtE?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ5_QF0n-Z44kRpOVHK0q9bL8,Great Meadows National Wildlife Refuge,111,Wildlife refuge,"Wildlife refuge, Tourist attraction",4.5,"73 Weir Hill Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Great+Meadows+National+Wildlife+Refuge/data=!4m7!3m6!1s0x89e3997fd205f4e7:0xbf6cbd4a2b47e5a4!8m2!3d42.402022!4d-71.373589!16zL20vMDYzejh3!19sChIJ5_QF0n-Z44kRpOVHK0q9bL8?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ_b9z6W1l44kRHA2DVTbQxkU,Massachusetts,0,,,0,United States,https://www.google.com/maps/place/Massachusetts/data=!4m7!3m6!1s0x89e3656de973bffd:0x45c6d03655830d1c!8m2!3d42.4072107!4d-71.3824374!16zL20vMDVrN3Ni!19sChIJ_b9z6W1l44kRHA2DVTbQxkU?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJhe2rGcCP44kR-9BqFHzoGUY,Featherland Park,40,Park,"Park, Tourist attraction",4.2,"491 Concord Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Featherland+Park/data=!4m7!3m6!1s0x89e38fc019abed85:0x4619e87c146ad0fb!8m2!3d42.3925387!4d-71.4065587!16s%2Fg%2F1tgjm96s!19sChIJhe2rGcCP44kR-9BqFHzoGUY?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJBUTWN5B15IkRZJWAe5lBj-0,Sudbury River,13,River,River,4.1,"Massachusetts, USA",https://www.google.com/maps/place/Sudbury+River/data=!4m7!3m6!1s0x89e4759037d64405:0xed8f41997b809564!8m2!3d42.2650016!4d-71.5356817!16s%2Fg%2F11bw7j3x6l!19sChIJBUTWN5B15IkRZJWAe5lBj-0?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ9Qr8R2ya44kR8nswGm9o1V0,The South Bridge Boathouse,166,Canoe & kayak rental service,Canoe & kayak rental service,4.5,"496 Main St, Concord, MA 01742, United States",https://www.google.com/maps/place/The+South+Bridge+Boathouse/data=!4m7!3m6!1s0x89e39a6c47fc0af5:0x5dd5686f1a307bf2!8m2!3d42.4582527!4d-71.3666522!16s%2Fg%2F1tjyvm9g!19sChIJ9Qr8R2ya44kR8nswGm9o1V0?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJZZexNSSQ44kRRXZoYvS5nTk,Camp Sewataro,22,Summer camp,Summer camp,4.7,"1 Liberty Ledge, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Camp+Sewataro/data=!4m7!3m6!1s0x89e3902435b19765:0x399db9f462687645!8m2!3d42.4180885!4d-71.4195292!16s%2Fg%2F1tfz13j7!19sChIJZZexNSSQ44kRRXZoYvS5nTk?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ48ETQ4OH44kRChyJ3g5Ev7I,Mass Audubon's Broadmoor Wildlife Sanctuary,586,Wildlife refuge,"Wildlife refuge, Bird watching area, Children's camp, Hiking area, Nature preserve, Tourist attraction",4.7,"280 Eliot St, Natick, MA 01760, United States",https://www.google.com/maps/place/Mass+Audubon%27s+Broadmoor+Wildlife+Sanctuary/data=!4m7!3m6!1s0x89e387834313c1e3:0xb2bf440ede891c0a!8m2!3d42.25611!4d-71.340397!16s%2Fg%2F11b5v7bxn0!19sChIJ48ETQ4OH44kRChyJ3g5Ev7I?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJVzrl4bmI44kRDmTXQBjxEpk,Sudbury River,0,River,River,0,"Framingham, MA 01701, USA",https://www.google.com/maps/place/Sudbury+River/data=!4m7!3m6!1s0x89e388b9e1e53a57:0x9912f11840d7640e!8m2!3d42.324897!4d-71.4015451!16s%2Fg%2F11bw8cr5st!19sChIJVzrl4bmI44kRDmTXQBjxEpk?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJqbuzQzCO44kR4FuGB7Aaoqk,Cutting Field,35,Sports activity location,Sports activity location,4.5,"429 Maynard Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Cutting+Field/data=!4m7!3m6!1s0x89e38e3043b3bba9:0xa9a21ab007865be0!8m2!3d42.4058523!4d-71.4399549!16s%2Fg%2F1hdzsdrly!19sChIJqbuzQzCO44kR4FuGB7Aaoqk?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJi1M9SLCL44kRYnpFf6TzIYY,Sudbury Reservoir,32,Lake,Lake,4.6,"Massachusetts, USA",https://www.google.com/maps/place/Sudbury+Reservoir/data=!4m7!3m6!1s0x89e38bb0483d538b:0x8621f3a47f457a62!8m2!3d42.3200659!4d-71.5085927!16s%2Fm%2F0crhkxk!19sChIJi1M9SLCL44kRYnpFf6TzIYY?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJT5eL20-O44kRwmpfwmzo5d8,Sudbury,0,,,0,"Massachusetts, USA",https://www.google.com/maps/place/Sudbury/data=!4m7!3m6!1s0x89e38e4fdb8b974f:0xdfe5e86cc25f6ac2!8m2!3d42.3834278!4d-71.4161725!16zL20vMHRfN3Q!19sChIJT5eL20-O44kRwmpfwmzo5d8?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJxwERWLaJ44kR0gL-vTIJxMY,Sudbury Aqueduct Linear District,7,Park,"Park, Tourist attraction",4,"Framingham, MA 01702, United States",https://www.google.com/maps/place/Sudbury+Aqueduct+Linear+District/data=!4m7!3m6!1s0x89e389b6581101c7:0xc6c40932bdfe02d2!8m2!3d42.2857994!4d-71.4379141!16s%2Fm%2F04gnfrk!19sChIJxwERWLaJ44kR0gL-vTIJxMY?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ_fgJzJ2i44kR9Etp4OfnLt8,Great Brook Farm State Park,1127,State park,"State park, Canoeing area, Hiking area, Tourist attraction",4.7,"165 North Rd, Carlisle, MA 01741, United States",https://www.google.com/maps/place/Great+Brook+Farm+State+Park/data=!4m7!3m6!1s0x89e3a29dcc09f8fd:0xdf2ee7e7e0694bf4!8m2!3d42.5527172!4d-71.3491455!16s%2Fm%2F0_lc5_5!19sChIJ_fgJzJ2i44kR9Etp4OfnLt8?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJgzpdraWO44kRU7dME-HnqK8,Longfellow's Wayside Inn,1887,New England restaurant,"New England restaurant, Fine dining restaurant, Historical landmark, Indoor lodging, Restaurant",4.6,"72 Wayside Inn Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Longfellow%27s+Wayside+Inn/data=!4m10!3m9!1s0x89e38ea5ad5d3a83:0xafa8e7e1134cb753!5m2!4m1!1i2!8m2!3d42.3574246!4d-71.4690058!16zL20vMDRnZnJ2!19sChIJgzpdraWO44kRU7dME-HnqK8?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJnYV-aPSQ44kRaBEsknR7aqc,"OARS: For the Assabet, Sudbury and Concord Rivers",0,Association / Organization,Association / Organization,0,"23 Bradford St, Concord, MA 01742, United States","https://www.google.com/maps/place/OARS:+For+the+Assabet,+Sudbury+and+Concord+Rivers/data=!4m7!3m6!1s0x89e390f4687e859d:0xa76a7b74922c1168!8m2!3d42.456806!4d-71.396627!16s%2Fg%2F1tgwbxwk!19sChIJnYV-aPSQ44kRaBEsknR7aqc?authuser=0&hl=en&rclk=1",sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJm7suaLWR44kRMilwuhaEiFk,Boston Paintball Maynard,89,Paintball center,Paintball center,4.7,"145 Powder Mill Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Boston+Paintball+Maynard/data=!4m7!3m6!1s0x89e391b5682ebb9b:0x59888416ba702932!8m2!3d42.4308509!4d-71.4314956!16s%2Fg%2F1tfg8pk1!19sChIJm7suaLWR44kRMilwuhaEiFk?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJjTqxSaaO44kR3S5KXoA5OVk,Wayside Inn Grist Mill,722,Historical landmark,"Historical landmark, Tourist attraction",4.8,"72 Wayside Inn Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Wayside+Inn+Grist+Mill/data=!4m7!3m6!1s0x89e38ea649b13a8d:0x593939805e4a2edd!8m2!3d42.3577043!4d-71.4740862!16s%2Fg%2F11cncm8fbw!19sChIJjTqxSaaO44kR3S5KXoA5OVk?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ-xxoNH2G44kRBmp57KbON8A,Academy MetroWest,3,Counselor,"Counselor, Children's camp",5,"31 Union Ave, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Academy+MetroWest/data=!4m7!3m6!1s0x89e3867d34681cfb:0xc037cea6ec796a06!8m2!3d42.3626437!4d-71.4276485!16s%2Fg%2F1hg4_2svw!19sChIJ-xxoNH2G44kRBmp57KbON8A?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJCwsWZR6P44kRV8vyec8RPnc,Massachusetts Gymnastics Center,6,Gymnastics center,"Gymnastics center, Physical fitness program",5,"31 Union Ave, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Massachusetts+Gymnastics+Center/data=!4m7!3m6!1s0x89e38f1e65160b0b:0x773e11cf79f2cb57!8m2!3d42.3627245!4d-71.4267989!16s%2Fg%2F1th0nxty!19sChIJCwsWZR6P44kRV8vyec8RPnc?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJPZ7XcvSP44kR9YIa9KoNJfs,TILT Cycle (located in TILT Fitness Center),12,Fitness center,Fitness center,5,"60 Union Ave, Sudbury, MA 01776, United States",https://www.google.com/maps/place/TILT+Cycle+%28located+in+TILT+Fitness+Center%29/data=!4m7!3m6!1s0x89e38ff472d79e3d:0xfb250daaf41a82f5!8m2!3d42.3645238!4d-71.4205206!16s%2Fg%2F11smht1s6y!19sChIJPZ7XcvSP44kR9YIa9KoNJfs?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJIfSjAnOP44kRd2ebeByJTJQ,HUB Parkour Training Center,0,Parkour spot,"Parkour spot, Fitness center, Gymnastics center, Sports school",0,"31 Union Ave, Sudbury, MA 01776, United States",https://www.google.com/maps/place/HUB+Parkour+Training+Center/data=!4m7!3m6!1s0x89e38f7302a3f421:0x944c891c789b6777!8m2!3d42.3626926!4d-71.4264695!16s%2Fg%2F11l62wtwvc!19sChIJIfSjAnOP44kRd2ebeByJTJQ?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJxS0JCgCJ44kRdRGQHbFvLEo,DMA Martial Arts,9,Martial arts school,Martial arts school,4.1,"385 Boston Post Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/DMA+Martial+Arts/data=!4m7!3m6!1s0x89e389000a092dc5:0x4a2c6fb11d901175!8m2!3d42.3610129!4d-71.4159749!16s%2Fg%2F11b6v73__k!19sChIJxS0JCgCJ44kRdRGQHbFvLEo?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJqZfzJqSO44kRI1DFEG_AxRw,The Redstone Schoolhouse,13,Historical landmark,"Historical landmark, Tourist attraction",4.4,"1-35 Dutton Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/The+Redstone+Schoolhouse/data=!4m7!3m6!1s0x89e38ea426f397a9:0x1cc5c06f10c55023!8m2!3d42.3586368!4d-71.4712297!16s%2Fg%2F11c2kjslm2!19sChIJqZfzJqSO44kRI1DFEG_AxRw?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJJ0BCeBmP44kRnZiSbayErgU,Fitness Together,27,Personal trainer,"Personal trainer, Fitness center, Gym",5,"423 Boston Post Rd, Sudbury, MA 01776, United States",https://www.google.com/maps/place/Fitness+Together/data=!4m7!3m6!1s0x89e38f1978424027:0x5ae84ac6d92989d!8m2!3d42.3598372!4d-71.4220512!16s%2Fg%2F1tgdv4cq!19sChIJJ0BCeBmP44kRnZiSbayErgU?authuser=0&hl=en&rclk=1,sudbury river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
