place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJz8JeSVTy5IkRA29kEDU8UNE,Taunton River,67,River,River,4.2,"Massachusetts, USA",https://www.google.com/maps/place/Taunton+River/data=!4m7!3m6!1s0x89e4f254495ec2cf:0xd1503c3510646f03!8m2!3d41.8383726!4d-71.105047!16zL20vMDJjc3A5!19sChIJz8JeSVTy5IkRA29kEDU8UNE?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJoepTtubz5IkRZhEAYM_wo5g,Funcity Adventure Park,218,Amusement park,Amusement park,4.3,"82 Taunton Depot Dr, Taunton, MA 02780, United States",https://www.google.com/maps/place/Funcity+Adventure+Park/data=!4m7!3m6!1s0x89e4f3e6b653eaa1:0x98a3f0cf60001166!8m2!3d41.8773219!4d-71.068785!16s%2Fg%2F11tf5bdp2c!19sChIJoepTtubz5IkRZhEAYM_wo5g?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJHZo1iv2K5IkR8JM8V74d1iQ,Camp Riverside,26,Summer camp,"Summer camp, Athletic field, Event venue, High ropes course, Playground, Rock climbing, Swimming pool",4.2,"388 Harvey St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Camp+Riverside/data=!4m7!3m6!1s0x89e48afd8a359a1d:0x24d61dbe573c93f0!8m2!3d41.9418527!4d-71.1456653!16s%2Fg%2F1w04l3k0!19sChIJHZo1iv2K5IkR8JM8V74d1iQ?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJxcLcP7uS5IkRvfn_NEQy4h0,Massasoit State Park,1439,State park,"State park, Boat ramp, Campground, Hiking area, Tourist attraction",4.6,"1361 Middleboro Ave, East Taunton, MA 02718, United States",https://www.google.com/maps/place/Massasoit+State+Park/data=!4m7!3m6!1s0x89e492bb3fdcc2c5:0x1de2324434fff9bd!8m2!3d41.8830559!4d-70.9932815!16zL20vMDZ0NW1q!19sChIJxcLcP7uS5IkRvfn_NEQy4h0?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJN4XBEauM5IkRrnAheRtPQ5I,Taunton Green,412,Park,Park,4.3,"Taunton, MA 02780, United States",https://www.google.com/maps/place/Taunton+Green/data=!4m7!3m6!1s0x89e48cab11c18537:0x92434f1b792170ae!8m2!3d41.9018789!4d-71.0934174!16s%2Fm%2F04f2tn9!19sChIJN4XBEauM5IkRrnAheRtPQ5I?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJuQeVJJqL5IkR2I58rxI9Cl4,Watson Pond State Park,425,State park,"State park, Swimming lake, Tourist attraction",4.2,"1644 Bay St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Watson+Pond+State+Park/data=!4m7!3m6!1s0x89e48b9a249507b9:0x5e0a3d12af7c8ed8!8m2!3d41.950143!4d-71.114029!16zL20vMDduemJk!19sChIJuQeVJJqL5IkR2I58rxI9Cl4?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJw-Kip8-M5IkRH0XVVP0WvYo,Taunton Parks & Recreation,21,Park,Park,4,"170 Harris St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Taunton+Parks+%26+Recreation/data=!4m7!3m6!1s0x89e48ccfa7a2e2c3:0x8abd16fd54d5451f!8m2!3d41.9028797!4d-71.0636911!16s%2Fg%2F1tw_p8bk!19sChIJw-Kip8-M5IkRH0XVVP0WvYo?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJoX-VdZz05IkRSL57jVGVTVA,Forrest's Family Fun Center,531,Roller skating rink,"Roller skating rink, Children's camp, Children's amusement center, Event planner, Party planner, Recreation center, Skate shop, Video arcade",4.4,"1 R Lawton St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Forrest%27s+Family+Fun+Center/data=!4m7!3m6!1s0x89e4f49c75957fa1:0x504d95518d7bbe48!8m2!3d41.8767001!4d-71.1028397!16s%2Fg%2F1vf9dd1f!19sChIJoX-VdZz05IkRSL57jVGVTVA?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJwyBNu1vz5IkRrmNrJGVwlek,Platinum City Gaming -Bar-Gaming Lounge- Arcade- Nerf Arena-Gellyball-Smash Room -Rage Room-Basketball,434,Video arcade,"Video arcade, Adult entertainment club, Amusement center, Basketball court, Children's party service, Laser tag center, Lounge, Party equipment rental service, Recreation center, Sports bar",4.7,"294 Winthrop St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Platinum+City+Gaming+-Bar-Gaming+Lounge-+Arcade-+Nerf+Arena-Gellyball-Smash+Room+-Rage+Room-Basketball/data=!4m7!3m6!1s0x89e4f35bbb4d20c3:0xe9957065246b63ae!8m2!3d41.887535!4d-71.1209716!16s%2Fg%2F11ckpyhw2p!19sChIJwyBNu1vz5IkRrmNrJGVwlek?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJRYOAVej05IkRcAi-oDgELN0,Taunton River Watershed Alliance,2,Non-profit organization,Non-profit organization,5,"1387 Somerset Ave, Dighton, MA 02715, United States",https://www.google.com/maps/place/Taunton+River+Watershed+Alliance/data=!4m7!3m6!1s0x89e4f4e855808345:0xdd2c0438a0be0870!8m2!3d41.831672!4d-71.118017!16s%2Fg%2F1thzpx_k!19sChIJRYOAVej05IkRcAi-oDgELN0?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJm16FWFaL5IkRS4Pa4LcYvMk,Taunton,0,,,0,"Massachusetts, USA",https://www.google.com/maps/place/Taunton/data=!4m7!3m6!1s0x89e48b5658855e9b:0xc9bc18b7e0da834b!8m2!3d41.900101!4d-71.0897674!16zL20vMHR5d3c!19sChIJm16FWFaL5IkRS4Pa4LcYvMk?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJjaJlFZGM5IkRCAUGprfrRBE,Taunton Rifle & Pistol Club,48,Shooting range,Shooting range,4.7,"430 E Britannia St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Taunton+Rifle+%26+Pistol+Club/data=!4m7!3m6!1s0x89e48c911565a28d:0x1144ebb7a6060508!8m2!3d41.9229226!4d-71.0810046!16s%2Fg%2F1tf6stml!19sChIJjaJlFZGM5IkRCAUGprfrRBE?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJHeihLY_t5IkRDJVF07WqmCI,Amie's Playground in Massasoit State Park,35,Playground,Playground,4.7,"Bearhole Rd, East Taunton, MA 02718, United States",https://www.google.com/maps/place/Amie%27s+Playground+in+Massasoit+State+Park/data=!4m7!3m6!1s0x89e4ed8f2da1e81d:0x2298aab5d345950c!8m2!3d41.8681978!4d-70.984975!16s%2Fg%2F11fwdg34sn!19sChIJHeihLY_t5IkRDJVF07WqmCI?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJuU3UabH25IkRMBTU8ZtML50,Dighton Rock State Park,172,State park,"State park, Hiking area, Historical landmark, Tourist attraction",4.4,"3rd Ave, Berkley, MA 02779, United States",https://www.google.com/maps/place/Dighton+Rock+State+Park/data=!4m7!3m6!1s0x89e4f6b169d44db9:0x9d2f4c9bf1d41430!8m2!3d41.8110572!4d-71.1030447!16zL20vMGYxdGI2!19sChIJuU3UabH25IkRMBTU8ZtML50?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJA4yQuO305IkRaIym7mLfwec,Boyden Park,213,Park,"Park, Tourist attraction",4.5,"1298 Cohannet St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Boyden+Park/data=!4m7!3m6!1s0x89e4f4edb8908c03:0xe7c1df62eea68c68!8m2!3d41.8813828!4d-71.1282339!16s%2Fg%2F1tcv2gmz!19sChIJA4yQuO305IkRaIym7mLfwec?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJTWb0el7z5IkRH9fjDoaHh7I,The Edge Indoor Skatepark,332,Skateboard park,"Skateboard park, Skateboard shop",4.7,"391 W Water St, Taunton, MA 02780, United States",https://www.google.com/maps/place/The+Edge+Indoor+Skatepark/data=!4m7!3m6!1s0x89e4f35e7af4664d:0xb28787860ee3d71f!8m2!3d41.8832436!4d-71.0926222!16s%2Fg%2F1v27wj60!19sChIJTWb0el7z5IkRH9fjDoaHh7I?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJNyfr2B705IkR3l1kfxG0wDs,Sweets Knoll State Park,91,State park,"State park, Tourist attraction",4.6,"1387 Somerset Ave, Dighton, MA 02715, United States",https://www.google.com/maps/place/Sweets+Knoll+State+Park/data=!4m7!3m6!1s0x89e4f41ed8eb2737:0x3bc0b4117f645dde!8m2!3d41.8316911!4d-71.1184267!16s%2Fg%2F11bzssh54p!19sChIJNyfr2B705IkR3l1kfxG0wDs?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJifonHq3y5IkREBh_KHJk3Yw,East Taunton,0,,,0,"Taunton, MA 02718, USA",https://www.google.com/maps/place/East+Taunton/data=!4m7!3m6!1s0x89e4f2ad1e27fa89:0x8cdd6472287f1810!8m2!3d41.8834347!4d-71.0286543!16zL20vMGRzOHpj!19sChIJifonHq3y5IkREBh_KHJk3Yw?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ900qMGON5IkRSDWU_a-VPZs,Brazilian Top Team Taunton,241,Martial arts school,Martial arts school,5,"60 Main St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Brazilian+Top+Team+Taunton/data=!4m7!3m6!1s0x89e48d63302a4df7:0x9b3d95affd943548!8m2!3d41.9019468!4d-71.0904019!16s%2Fg%2F11fqcxqky_!19sChIJ900qMGON5IkRSDWU_a-VPZs?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJrUhsr6qM5IkRShCn7Jnar_M,Old Colony YMCA - Taunton Branch,147,Youth organization,"Youth organization, Gym, Non-profit organization",4.4,"71 Cohannet St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Old+Colony+YMCA+-+Taunton+Branch/data=!4m7!3m6!1s0x89e48caaaf6c48ad:0xf3afda99eca7104a!8m2!3d41.9010248!4d-71.0966737!16s%2Fg%2F11c70bjqkh!19sChIJrUhsr6qM5IkRShCn7Jnar_M?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJa0UpZO_55IkRzd-8WRJqp_E,Senator Thomas Norton City Pier,27,Tourist attraction,Tourist attraction,4.8,"600 Davol St, Fall River, MA 02720, United States",https://www.google.com/maps/place/Senator+Thomas+Norton+City+Pier/data=!4m7!3m6!1s0x89e4f9ef6429456b:0xf1a76a1259bcdfcd!8m2!3d41.712275!4d-71.15826!16s%2Fg%2F11jyqj9_xn!19sChIJa0UpZO_55IkRzd-8WRJqp_E?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJPwtnAa6R5IkRpB6dRtRe-Hw,Fun Factory,32,Children's museum,"Children's museum, Children's amusement center, Children's party service, Event venue, Video arcade",4.3,"27 Perkins St, Bridgewater, MA 02324, United States",https://www.google.com/maps/place/Fun+Factory/data=!4m7!3m6!1s0x89e491ae01670b3f:0x7cf85ed4469d1ea4!8m2!3d41.994183!4d-70.9748341!16s%2Fg%2F11pcp174hp!19sChIJPwtnAa6R5IkRpB6dRtRe-Hw?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJg_-HP4OL5IkRejT8nFBLUTg,Lake Sabbatia,30,Lake,Lake,4.3,"Taunton, MA 02780, USA",https://www.google.com/maps/place/Lake+Sabbatia/data=!4m7!3m6!1s0x89e48b833f87ff83:0x38514b509cfc347a!8m2!3d41.94458!4d-71.1077157!16zL20vMDduejd0!19sChIJg_-HP4OL5IkRejT8nFBLUTg?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJUWB6EXT15IkRYi0AWdKF7m8,Segregansett Country Club,128,Golf course,"Golf course, Bar, Country club, Function room facility, Restaurant, Wedding venue",4.5,"85 Gulliver St, Taunton, MA 02780, United States",https://www.google.com/maps/place/Segregansett+Country+Club/data=!4m7!3m6!1s0x89e4f574117a6051:0x6fee85d259002d62!8m2!3d41.879281!4d-71.173673!16s%2Fg%2F1tjrq_b8!19sChIJUWB6EXT15IkRYi0AWdKF7m8?authuser=0&hl=en&rclk=1,tauton river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
