place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJbcbJO3If54kRYIo-NoVY9h8,Westfield River Esplanade,23,Park,"Park, Tourist attraction",4.9,"Westfield, MA 01085, United States",https://www.google.com/maps/place/Westfield+River+Esplanade/data=!4m7!3m6!1s0x89e71f723bc9c66d:0x1ff65885363e8a60!8m2!3d42.1289194!4d-72.7472932!16s%2Fg%2F11f72h68mz!19sChIJbcbJO3If54kRYIo-NoVY9h8?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJyYr22Srg5okR6sdCDeWXgN0,Westfield River,20,River,River,4.3,"Massachusetts, USA",https://www.google.com/maps/place/Westfield+River/data=!4m7!3m6!1s0x89e6e02ad9f68ac9:0xdd8097e50d42c7ea!8m2!3d42.1146665!4d-72.71642!16s%2Fm%2F026sdlw!19sChIJyYr22Srg5okR6sdCDeWXgN0?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJXRjieV0e54kRdetAZrKOy_Y,Amelia Park Children's Museum,293,Children's museum,"Children's museum, Museum, Tourist attraction",4.4,"29 S Broad St, Westfield, MA 01085, United States",https://www.google.com/maps/place/Amelia+Park+Children%27s+Museum/data=!4m7!3m6!1s0x89e71e5d79e2185d:0xf6cb8eb26640eb75!8m2!3d42.1116553!4d-72.7506796!16s%2Fg%2F1tg6r46d!19sChIJXRjieV0e54kRdetAZrKOy_Y?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJL1sbscge54kRbxZSJE9kPCM,The Stanley Park Of Westfield,1945,Park,"Park, Athletic field, Tourist attraction",4.8,"400 Western Ave, Westfield, MA 01086, United States",https://www.google.com/maps/place/The+Stanley+Park+Of+Westfield/data=!4m7!3m6!1s0x89e71ec8b11b5b2f:0x233c644f2452166f!8m2!3d42.1267033!4d-72.7894906!16zL20vMDg5el9u!19sChIJL1sbscge54kRbxZSJE9kPCM?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJieZbJZwk54kRQwmMc9p5Es8,Westfield River,2,River,River,4,"Huntington, MA 01050, USA",https://www.google.com/maps/place/Westfield+River/data=!4m7!3m6!1s0x89e7249c255be689:0xcf1279da738c0943!8m2!3d42.2674534!4d-72.8685823!16s%2Fg%2F11bw86nntq!19sChIJieZbJZwk54kRQwmMc9p5Es8?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJYwr1xtkd54kR-jhhpEBq00Y,Columbia Greenway Rail Trail,93,Biking trail,"Biking trail, Tourist attraction",4.9,"Westfield, MA 01085, United States",https://www.google.com/maps/place/Columbia+Greenway+Rail+Trail/data=!4m7!3m6!1s0x89e71dd9c6f50a63:0x46d36a40a46138fa!8m2!3d42.0884072!4d-72.7444901!16s%2Fg%2F11c0vpr36g!19sChIJYwr1xtkd54kR-jhhpEBq00Y?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJSfa2d40e54kRJGcpf5-VAi4,Big Adventures,27,Amusement center,Amusement center,2.9,"77 Mill St, Westfield, MA 01085, United States",https://www.google.com/maps/place/Big+Adventures/data=!4m7!3m6!1s0x89e71e8d77b6f649:0x2e02959f7f296724!8m2!3d42.1119993!4d-72.7656271!16s%2Fg%2F1td6t7xm!19sChIJSfa2d40e54kRJGcpf5-VAi4?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJkcC2UpPf5okRkrEOEKdCtV8,Hampton Ponds State Park,393,State park,"State park, Boat ramp, Picnic ground, Swimming lake, Tourist attraction",4.3,"1048 N Rd, Westfield, MA 01085, United States",https://www.google.com/maps/place/Hampton+Ponds+State+Park/data=!4m7!3m6!1s0x89e6df9352b6c091:0x5fb542a7100eb192!8m2!3d42.179372!4d-72.688595!16s%2Fm%2F0_h1q8y!19sChIJkcC2UpPf5okRkrEOEKdCtV8?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ12XiuI0f54kRFDRka4KAuMs,FunZ Trampoline Park Westfield MA,319,Recreation center,Recreation center,4.6,"443 E Main St, Westfield, MA 01085, United States",https://www.google.com/maps/place/FunZ+Trampoline+Park+Westfield+MA/data=!4m7!3m6!1s0x89e71f8db8e265d7:0xcbb880826b643414!8m2!3d42.1122199!4d-72.724346!16s%2Fg%2F11mg6zldcb!19sChIJ12XiuI0f54kRFDRka4KAuMs?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJYyqEnFge54kRf4Z7Dj22gzM,City of Westfield Park & Recreation,6,City government office,"City government office, Government office",3.2,"4 Holcomb St, Westfield, MA 01085, United States",https://www.google.com/maps/place/City+of+Westfield+Park+%26+Recreation/data=!4m7!3m6!1s0x89e71e589c842a63:0x3383b63d0e7b867f!8m2!3d42.1190423!4d-72.7566679!16s%2Fg%2F1tj22k_f!19sChIJYyqEnFge54kRf4Z7Dj22gzM?authuser=0&hl=en&rclk=1,westfield river activity massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
