place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,closed_on,phone,review_keywords
ChIJKXNTCQQZ44kRf9AGvhHP0kc,Ipswich River,3,River,River,4.7,"Massachusetts, USA",https://www.google.com/maps/place/Ipswich+River/data=!4m7!3m6!1s0x89e3190409537329:0x47d2cf11be06d07f!8m2!3d42.6537387!4d-70.9112124!16zL20vMGNmZDhm!19sChIJKXNTCQQZ44kRf9AGvhHP0kc?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ_b9z6W1l44kRHA2DVTbQxkU,Massachusetts,0,,,0,United States,https://www.google.com/maps/place/Massachusetts/data=!4m7!3m6!1s0x89e3656de973bffd:0x45c6d03655830d1c!8m2!3d42.4072107!4d-71.3824374!16zL20vMDVrN3Ni!19sChIJ_b9z6W1l44kRHA2DVTbQxkU?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJyYr22Srg5okR6sdCDeWXgN0,Westfield River,20,River,River,4.3,"Massachusetts, USA",https://www.google.com/maps/place/Westfield+River/data=!4m7!3m6!1s0x89e6e02ad9f68ac9:0xdd8097e50d42c7ea!8m2!3d42.1146665!4d-72.71642!16s%2Fm%2F026sdlw!19sChIJyYr22Srg5okR6sdCDeWXgN0?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ63meK7F45IkRRZjNjplVYlo,Charles River,149,River,River,4.6,"Massachusetts, USA",https://www.google.com/maps/place/Charles+River/data=!4m7!3m6!1s0x89e478b12b9e79eb:0x5a6255998ecd9845!8m2!3d42.2540732!4d-71.2660843!16zL20vMDEybjF0!19sChIJ63meK7F45IkRRZjNjplVYlo?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJtUSHLj5x44kRRZ0vTNygmpU,Malden River,3,River,River,3.3,"Massachusetts, USA",https://www.google.com/maps/place/Malden+River/data=!4m7!3m6!1s0x89e3713e2e8744b5:0x959aa0dc4c2f9d45!8m2!3d42.4109584!4d-71.0734697!16zL20vMGZkX24w!19sChIJtUSHLj5x44kRRZ0vTNygmpU?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJz8JeSVTy5IkRA29kEDU8UNE,Taunton River,67,River,River,4.2,"Massachusetts, USA",https://www.google.com/maps/place/Taunton+River/data=!4m7!3m6!1s0x89e4f254495ec2cf:0xd1503c3510646f03!8m2!3d41.8383726!4d-71.105047!16zL20vMDJjc3A5!19sChIJz8JeSVTy5IkRA29kEDU8UNE?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ9bD7HGSa44kRCBOcB69QSR8,Sudbury River,8,River,River,4.8,"Concord, MA 01742, USA",https://www.google.com/maps/place/Sudbury+River/data=!4m7!3m6!1s0x89e39a641cfbb0f5:0x1f4950af079c1308!8m2!3d42.44484!4d-71.3695102!16s%2Fm%2F02665rv!19sChIJ9bD7HGSa44kRCBOcB69QSR8?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJESLyeS1B4YkRQ0pCZNlQkFc,Millers River,23,River,River,4,"Massachusetts, USA",https://www.google.com/maps/place/Millers+River/data=!4m7!3m6!1s0x89e1412d79f22211:0x579050d964424a43!8m2!3d42.5965801!4d-72.2401755!16s%2Fm%2F026x__r!19sChIJESLyeS1B4YkRQ0pCZNlQkFc?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ1dCm8qng5okRYJDirdiNvTI,Chicopee River,11,River,River,4.1,"Chicopee, MA 01013, USA",https://www.google.com/maps/place/Chicopee+River/data=!4m7!3m6!1s0x89e6e0a9f2a6d0d5:0x32bd8dd8ade29060!8m2!3d42.1481487!4d-72.6217565!16s%2Fm%2F02q5xq4!19sChIJ1dCm8qng5okRYJDirdiNvTI?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJyUfT1msp4YkR1u0LTRaADQk,Deerfield River,108,River,River,4.6,United States,https://www.google.com/maps/place/Deerfield+River/data=!4m7!3m6!1s0x89e1296bd6d347c9:0x90d80164d0bedd6!8m2!3d42.7917914!4d-72.916075!16zL20vMDU3NGMw!19sChIJyUfT1msp4YkR1u0LTRaADQk?authuser=0&hl=en&rclk=1,rivers in massachusetts,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
